time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s,policy_action,policy_updated
0.1064,0.000,372.517,1.385,-0.004,359.650,0.000,3.317785,1
0.1115,366.517,372.539,-2.309,-0.046,359.650,0.000,3.317785,0
0.1164,366.517,371.638,-245.176,-5.094,359.650,0.000,3.317785,0
0.1214,366.517,369.813,-252.563,0.976,1.760,180.876,3.317785,0
0.1264,366.517,368.363,-198.080,0.743,2.810,177.812,4.544894,1
0.1314,354.517,367.308,-138.979,0.760,3.870,177.381,4.544894,0
0.1365,354.517,365.879,-108.505,-0.726,4.570,147.036,4.544894,0
0.1415,354.517,365.022,-133.438,-0.643,4.570,147.036,4.544894,0
0.1464,354.517,365.022,-133.438,-0.643,5.270,130.500,5.462532,1
0.1514,336.517,364.011,-156.525,-0.278,5.620,94.689,5.462532,0
0.1565,336.517,361.483,-247.022,-1.739,6.330,107.808,5.462532,0
0.1615,336.517,359.505,-317.205,-1.108,7.730,170.916,5.462532,0
0.1664,336.517,359.505,-317.205,-1.108,9.490,229.630,5.848722,1
0.1714,312.517,357.175,-351.372,-0.486,9.490,229.630,5.848722,0
0.1764,312.517,354.714,-370.765,-0.320,11.600,288.146,5.848722,0
0.1825,312.517,347.416,-585.928,-1.034,13.710,325.620,5.848722,0
0.1874,312.517,343.372,-616.402,-0.386,16.880,426.536,5.914852,1
0.1925,282.517,339.284,-621.019,-0.062,20.390,505.605,5.914852,0
0.1975,282.517,334.778,-722.598,-2.437,23.910,546.347,5.914852,0
0.2025,282.517,329.569,-807.556,-1.324,27.770,594.818,5.914852,0
0.2075,282.517,323.964,-849.111,-0.477,31.990,719.875,5.884161,1
0.2126,252.517,318.316,-847.264,-0.145,31.990,719.875,5.884161,0
0.2175,252.517,312.359,-925.757,-2.063,37.270,786.952,5.884161,0
0.2224,252.517,312.359,-925.757,-2.063,42.890,875.893,5.884161,0
0.2274,252.517,305.853,-999.633,-1.233,48.870,936.613,5.651092,1
0.2325,222.517,292.292,-1008.867,0.095,55.550,1022.123,5.651092,0
0.2374,222.517,292.292,-1008.867,0.095,61.520,1110.762,5.651092,0
0.2425,222.517,278.138,-1103.059,-0.934,69.260,1201.463,5.651092,0
0.2475,222.517,278.138,-1103.059,-0.934,69.260,1201.463,4.798700,1
0.2525,192.517,263.389,-1090.131,0.619,76.640,1197.936,4.798700,0
0.2575,192.517,256.004,-1110.447,-1.150,84.380,1262.980,4.798700,0
0.2624,192.517,256.004,-1110.447,-1.150,92.110,1276.185,4.798700,0
0.2674,192.517,248.356,-1145.538,-0.660,99.140,1222.811,2.498062,1
0.2735,162.517,231.871,-1107.676,0.652,106.170,1181.006,2.498062,0
0.2785,162.517,231.871,-1107.676,0.652,112.150,1092.513,2.498062,0
0.2834,162.517,224.530,-1107.676,-0.685,112.150,1092.513,2.498062,0
0.2885,162.517,209.540,-1125.222,0.095,117.420,979.213,0.491520,1
0.2935,132.517,209.540,-1125.222,0.095,121.990,879.706,0.491520,0
0.2985,132.517,194.968,-1093.825,-0.785,125.860,763.774,0.491520,0
0.3034,132.517,187.517,-1124.299,-0.386,128.670,615.821,0.491520,0
0.3085,132.517,180.022,-1125.222,0.021,130.780,484.260,-0.199091,1
0.3135,102.517,172.681,-1083.667,0.610,130.780,484.260,-0.199091,0
0.3185,102.517,165.406,-1107.676,-0.967,131.480,299.623,-0.199091,0
0.3234,102.517,157.911,-1132.610,-0.494,131.840,180.203,-0.199091,0
0.3285,102.517,150.350,-1127.069,0.137,131.480,60.469,-0.068708,1
0.3335,72.517,150.350,-1127.069,0.137,130.080,-87.630,-0.068708,0
0.3385,72.517,135.514,-1114.141,-0.984,127.620,-248.111,-0.068708,0
0.3434,72.517,135.514,-1114.141,-0.984,127.620,-248.111,-0.068708,0
0.3485,72.517,120.326,-1135.380,0.071,124.450,-386.290,1.825319,1
0.3535,42.517,112.743,-1101.212,0.436,120.230,-547.292,1.825319,0
0.3594,42.517,112.743,-1101.212,0.436,115.660,-656.110,1.825319,0
0.3645,42.517,96.698,-1135.380,-0.494,109.690,-825.364,1.825319,0
0.3695,42.517,89.115,-1131.686,-0.012,103.360,-941.551,3.829432,1
0.3745,18.517,81.774,-1090.131,0.901,96.330,-1054.003,3.829432,0
0.3795,18.517,74.587,-1079.973,-0.195,96.330,-1054.003,3.829432,0
0.3845,18.517,67.378,-1083.667,-0.137,89.300,-1106.483,3.829432,0
0.3895,18.517,60.300,-1048.576,0.378,81.560,-1208.578,3.582784,1
0.3946,0.517,53.487,-1001.480,0.917,73.830,-1249.958,3.582784,0
0.3995,0.517,46.959,-971.930,0.054,66.450,-1232.422,3.582784,0
0.4045,0.517,46.959,-971.930,0.054,58.710,-1268.246,3.582784,0
0.4097,0.517,34.409,-905.441,0.926,58.710,-1268.246,2.761483,1
0.4145,-11.483,28.650,-838.953,1.299,51.330,-1185.782,2.761483,0
0.4195,-11.483,23.287,-793.704,0.286,43.590,-1325.333,2.761483,0
0.4245,-11.483,18.122,-750.302,0.677,36.210,-1278.637,2.761483,0
0.4294,-11.483,18.122,-750.302,0.677,28.480,-1282.758,1.646490,1
0.4345,-17.483,8.891,-629.330,1.183,20.390,-1301.176,1.646490,0
