time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s
0.0000,0.000,3.330,-10.494,-0.0103,359.300,0.000
0.0051,0.000,3.330,-0.700,-0.0308,359.300,0.000
0.0101,0.000,3.286,-11.893,-0.0308,359.300,0.000
0.0152,0.000,3.242,-11.893,-0.0308,359.300,0.000
0.0203,0.000,3.154,-13.292,-0.0073,359.300,0.000
0.0253,0.000,3.110,-13.292,-0.0073,359.300,0.000
0.0304,0.000,3.022,-20.288,0.0015,359.650,31.796
0.0354,0.000,2.934,-27.284,0.0044,359.650,0.000
0.0405,0.000,717.395,2510.800,0.1509,359.650,0.000
0.0455,0.000,2.758,-24.485,0.0015,359.650,0.000
0.0506,0.000,717.395,2510.800,0.1509,359.650,0.000
0.0556,0.000,717.395,2510.800,0.1509,359.650,0.000
0.0607,0.000,2.539,-14.691,-0.0190,359.650,0.000
0.0658,0.000,2.473,-14.691,-0.0073,0.000,32.008
0.0708,0.000,2.407,-16.090,-0.0044,0.000,0.000
0.0759,0.000,717.395,2510.800,0.1509,0.000,0.000
0.0809,0.000,2.275,-17.490,-0.0132,0.000,0.000
0.0860,0.000,2.209,-9.095,-0.0161,0.000,0.000
0.0910,0.000,717.395,2510.800,0.1509,0.000,0.000
0.0961,0.000,2.143,-9.095,-0.0454,0.000,0.000
0.1011,0.000,2.121,-7.695,-0.0571,0.000,0.000
0.1062,0.000,717.395,2510.800,0.1509,359.650,-31.734
0.1113,0.000,2.099,-3.498,-0.0806,359.650,0.000
0.1163,0.000,2.099,2.099,-0.0718,359.650,0.000
0.1214,0.000,2.099,-2.099,-0.0718,359.650,0.000
0.1264,0.000,717.395,2510.800,0.1509,359.650,0.000
0.1315,0.000,717.395,2510.800,0.1509,359.650,0.000
0.1365,0.000,717.395,2510.800,0.1509,359.650,0.000
0.1416,0.000,717.395,2510.800,0.1509,359.650,0.000
0.1467,0.000,2.099,7.695,-0.0747,359.650,0.000
0.1517,0.000,717.395,2510.800,0.1509,359.650,0.000
0.1568,0.000,717.395,2510.800,0.1509,359.650,0.000
0.1618,0.000,2.077,-10.494,-0.0718,359.650,0.000
0.1669,0.000,717.395,2510.800,0.1509,359.650,0.000
0.1719,0.000,717.395,2510.800,0.1509,359.300,-31.847
0.1770,0.000,2.077,-2.099,-0.0747,359.300,0.000
0.1821,0.000,717.395,2510.800,0.1509,359.300,0.000
0.1871,0.000,2.077,-4.897,-0.0718,359.300,0.000
0.1922,0.000,717.395,2510.800,0.1509,359.300,0.000
0.1972,0.000,717.395,2510.800,0.1509,359.300,0.000
0.2023,0.000,2.077,-4.897,-0.0777,359.300,0.000
0.2073,0.000,717.395,2510.800,0.1509,359.300,0.000
0.2124,0.000,717.395,2510.800,0.1509,359.300,0.000
0.2175,0.000,717.395,2510.800,0.1509,359.300,0.000
0.2225,0.000,717.395,2510.800,0.1509,359.300,0.000
0.2276,0.000,2.077,4.897,-0.0630,359.300,0.000
0.2326,0.000,717.395,2510.800,0.1509,359.300,0.000
0.2377,0.000,717.395,2510.800,0.1509,359.300,0.000
0.2427,0.000,717.395,2510.800,0.1509,359.300,0.000
0.2478,0.000,717.395,2510.800,0.1509,358.950,-31.394
0.2529,0.000,717.395,2510.800,0.1509,358.950,0.000
0.2579,0.000,717.395,2510.800,0.1509,358.950,0.000
0.2630,0.000,717.395,2510.800,0.1509,358.950,0.000
0.2680,0.000,717.395,2510.800,0.1509,358.950,0.000
0.2731,0.000,717.395,2510.800,0.1509,358.950,0.000
0.2781,0.000,717.395,2510.800,0.1509,358.950,0.000
0.2832,0.000,717.395,2510.800,0.1509,359.300,31.827
0.2882,0.000,717.395,2510.800,0.1509,359.300,0.000
0.2933,0.000,717.395,2510.800,0.1509,359.300,0.000
0.2984,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3034,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3085,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3135,0.000,2.077,-3.498,-0.0747,359.300,0.000
0.3186,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3236,0.000,2.077,-11.893,-0.0659,359.300,0.000
0.3287,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3337,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3388,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3438,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3489,0.000,2.077,3.498,-0.0923,359.300,0.000
0.3539,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3590,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3641,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3691,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3742,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3792,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3843,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3893,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3944,0.000,717.395,2510.800,0.1509,359.300,0.000
0.3994,0.000,717.395,2510.800,0.1509,359.300,0.000
0.4045,0.000,2.077,-4.897,-0.0777,359.650,31.753
0.4096,0.000,717.395,2510.800,0.1509,359.650,0.000
0.4146,0.000,2.077,-6.296,-0.0689,359.650,0.000
0.4197,0.000,2.055,-4.897,-0.0864,359.650,0.000
0.4247,0.000,2.077,2.099,-0.0777,359.650,0.000
0.4298,0.000,717.395,2510.800,0.1509,359.650,0.000
0.4348,0.000,717.395,2510.800,0.1509,359.650,0.000
0.4399,0.000,717.395,2510.800,0.1509,359.650,0.000
0.4450,0.000,717.395,2510.800,0.1509,359.650,0.000
0.4500,0.000,717.395,2510.800,0.1509,359.650,0.000
0.4551,0.000,2.077,-4.897,-0.0747,359.650,0.000
0.4601,0.000,717.395,2510.800,0.1509,359.650,0.000
0.4652,0.000,717.395,2510.800,0.1509,359.650,0.000
0.4702,0.000,717.395,2510.800,0.1509,359.650,0.000
0.4753,0.000,717.395,2510.800,0.1509,359.650,0.000
0.4804,0.000,2.055,-6.296,-0.0835,359.650,0.000
0.4854,0.000,717.395,2510.800,0.1509,359.650,0.000
0.4905,0.000,717.395,2510.800,0.1509,359.650,0.000
0.4955,0.000,717.395,2510.800,0.1509,359.650,0.000
0.5006,0.000,717.395,2510.800,0.1509,359.650,0.000
0.5056,0.000,717.395,2510.800,0.1509,359.650,0.000
0.5107,0.000,717.395,2510.800,0.1509,359.650,0.000
0.5157,0.000,717.395,2510.800,0.1509,359.300,-32.020
0.5208,0.000,717.395,2510.800,0.1509,359.300,0.000
0.5258,0.000,717.395,2510.800,0.1509,359.300,0.000
0.5309,0.000,717.395,2510.800,0.1509,359.300,0.000
0.5360,0.000,717.395,2510.800,0.1509,359.300,0.000
0.5410,0.000,2.055,-4.897,-0.0777,359.300,0.000
0.5461,0.000,2.077,2.099,-0.0747,359.300,0.000
0.5511,0.000,717.395,2510.800,0.1509,359.300,0.000
0.5562,0.000,717.395,2510.800,0.1509,359.650,31.801
0.5612,0.000,717.395,2510.800,0.1509,359.650,0.000
0.5663,0.000,717.395,2510.800,0.1509,359.650,0.000
0.5713,0.000,717.395,2510.800,0.1509,359.650,0.000
0.5764,0.000,717.395,2510.800,0.1509,359.650,0.000
0.5814,0.000,717.395,2510.800,0.1509,359.650,0.000
0.5865,0.000,717.395,2510.800,0.1509,359.650,0.000
0.5916,0.000,717.395,2510.800,0.1509,359.300,-31.852
0.5966,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6017,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6067,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6118,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6168,0.000,2.077,4.897,-0.0806,359.300,0.000
0.6219,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6269,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6320,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6370,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6421,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6472,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6522,0.000,2.077,9.095,-0.0718,359.300,0.000
0.6573,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6623,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6674,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6724,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6775,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6826,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6876,0.000,2.055,0.700,-0.0718,359.300,0.000
0.6927,0.000,717.395,2510.800,0.1509,359.300,0.000
0.6977,0.000,717.395,2510.800,0.1509,359.300,0.000
0.7028,0.000,717.395,2510.800,0.1509,359.300,0.000
0.7078,0.000,717.395,2510.800,0.1509,359.300,0.000
0.7129,0.000,2.077,6.296,-0.0659,359.300,0.000
0.7179,0.000,717.395,2510.800,0.1509,359.300,0.000
0.7230,0.000,717.395,2510.800,0.1509,359.650,31.841
0.7281,0.000,2.077,0.700,-0.0630,359.650,0.000
0.7331,0.000,2.055,0.700,-0.0718,359.650,0.000
0.7382,0.000,2.077,6.296,-0.0718,359.650,0.000
0.7433,0.000,717.395,2510.800,0.1509,359.650,0.000
0.7483,0.000,717.395,2510.800,0.1509,359.650,0.000
0.7534,0.000,717.395,2510.800,0.1509,359.650,0.000
0.7584,0.000,717.395,2510.800,0.1509,359.300,-31.865
0.7635,0.000,717.395,2510.800,0.1509,359.300,0.000
0.7685,0.000,717.395,2510.800,0.1509,359.650,31.788
0.7736,0.000,717.395,2510.800,0.1509,359.650,0.000
