time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s
0.0000,0.013,-6.473,1.385,-0.0042,0.000,0.000
0.0201,7.496,-5.879,26.318,0.2781,359.650,-17.798
0.0402,14.503,-4.231,75.261,0.0623,358.950,-30.638
0.0602,20.593,-1.659,111.276,0.2283,357.890,-96.482
0.0803,25.388,1.703,133.438,0.2366,356.130,-79.948
0.1003,28.572,5.572,150.984,0.0623,353.670,-111.162
0.1204,29.950,9.550,148.213,-0.0042,351.560,-96.441
0.1405,29.435,13.330,143.596,0.0706,350.160,-63.673
0.1605,27.060,16.561,104.811,0.0374,349.450,-32.264
0.1806,22.975,18.935,74.338,-0.0789,349.800,16.520
0.2006,17.437,20.034,21.701,0.0955,350.860,89.711
0.2207,10.795,19.924,-15.237,-0.1951,353.670,127.555
0.2408,3.473,18.913,-49.404,-0.2781,357.540,176.218
0.2608,-4.070,16.935,-90.036,-0.2117,2.460,223.533
0.2809,-11.353,13.968,-124.204,-0.0955,8.090,265.450
0.3009,-17.920,10.121,-156.525,-0.1868,11.250,267.893
0.3210,-23.353,5.616,-176.840,-0.2698,16.520,239.603
0.3411,-27.311,0.692,-186.075,0.0208,21.450,224.077
0.3611,-29.544,-4.297,-179.611,-0.2283,26.020,207.664
0.3812,-29.910,-9.023,-170.376,0.0291,28.480,111.827
0.4012,-28.386,-13.155,-145.443,0.0208,29.180,68.442
0.4213,-25.069,-16.452,-110.352,-0.0042,29.530,15.918
0.4413,-20.168,-18.562,-57.716,0.0374,27.070,-111.853
0.4614,-13.993,-19.199,-10.620,-0.0042,21.800,-239.433
0.4814,-6.934,-18.957,13.390,0.4193,14.410,-335.862
0.5015,0.565,-17.529,70.644,0.0457,5.620,-385.801
0.5216,8.028,-15.089,106.658,0.2864,1.050,-447.240
0.5416,14.984,-11.748,134.362,0.2366,350.510,-480.374
0.5617,20.992,-7.616,165.759,0.0706,340.660,-447.633
0.5817,25.673,-2.912,184.228,0.1785,330.820,-447.969
0.6018,28.732,1.989,186.075,0.0540,322.030,-384.240
0.6218,29.976,6.803,170.376,0.1038,315.700,-287.783
0.6419,29.326,11.220,150.984,0.1868,313.590,-207.793
0.6619,26.824,14.913,129.745,0.0457,310.780,-122.946
0.6820,22.627,17.660,86.342,0.0872,310.430,-15.910
0.7021,17.000,18.979,27.242,-0.0872,313.950,165.803
0.7221,10.299,19.023,-10.620,-0.2117,320.620,304.166
0.7422,2.945,18.100,-50.328,-0.1868,329.770,415.886
0.7622,-4.594,16.078,-90.036,-0.3031,335.390,474.088
0.7823,-11.845,13.133,-125.127,-0.2615,348.400,591.280
0.8023,-18.332,9.374,-150.984,-0.3529,2.110,623.456
0.8224,-23.675,4.912,-175.917,-0.1702,16.520,654.887
0.8424,-27.522,0.099,-186.075,-0.1204,30.230,623.356
0.8625,-29.630,-4.846,-179.611,-0.1370,36.560,619.751
0.8825,-29.865,-9.462,-167.606,0.0374,47.810,511.103
0.9026,-28.214,-13.528,-142.673,-0.1121,56.600,399.382
0.9227,-24.780,-16.759,-109.429,-0.0540,62.230,256.137
0.9427,-19.780,-18.781,-54.022,0.0291,64.340,95.845
0.9628,-13.531,-19.353,-5.079,0.0208,63.280,-48.182
0.9828,-6.427,-19.001,15.237,0.4027,61.170,-179.156
1.0029,1.083,-17.485,77.108,0.0208,54.490,-303.626
1.0229,8.525,-14.979,102.041,0.2532,45.000,-431.438
1.0430,15.428,-11.550,145.443,0.2034,31.990,-591.349
1.0630,21.356,-7.330,165.759,-0.0042,17.230,-670.872
1.0831,25.935,-2.605,180.534,0.2449,1.050,-763.174
1.1031,28.876,2.319,182.381,0.0125,352.970,-684.625
1.1232,29.992,7.110,169.453,0.1536,337.500,-703.352
1.1433,29.214,11.484,153.754,0.1038,322.730,-670.836
1.1633,26.590,15.133,119.587,-0.0291,310.780,-563.044
1.1834,22.286,17.792,80.802,0.1204,301.990,-400.951
1.2034,16.575,19.023,25.395,-0.0540,298.480,-296.205
1.2235,9.814,19.023,-6.002,-0.1785,294.610,-175.874
1.2435,2.435,18.034,-57.716,-0.1868,294.260,-16.482
1.2636,-5.099,15.946,-93.730,-0.3114,297.070,128.570
1.2836,-12.310,12.957,-125.127,-0.3031,303.750,303.438
1.3037,-18.743,9.110,-155.601,-0.3363,313.240,431.725
