time_s,step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,cylinder_q_rad,cylinder_q_deg,cylinder_qd_rad_s,cylinder_qd_deg_s,cylinder_tracking_error_rad,cylinder_tracking_error_deg,pole_q_rad,pole_q_deg,pole_qd_rad_s,pole_qd_deg_s,pole_lift_deg,done
0.089508,0,0.87310636,1.37147226,78.579572,1.37147226,78.579572,0.00000000,0.000000,0.00000000,0.000000,1.37147226,78.579572,0.00000000,0.000000,0.00000000,0.000000,0.000000,0
0.095037,1,1.00000000,1.57079633,90.000000,1.57079633,90.000000,0.00000000,0.000000,0.00000000,0.000000,1.57079633,90.000000,-0.00000000,-0.000000,-0.00000006,-0.000004,0.000000,0
0.100096,2,1.00000000,1.57079633,90.000000,1.57079633,90.000000,0.06749902,3.867409,5.35347128,306.731310,1.50329731,86.132591,-0.04294933,-2.460816,-3.38932776,-194.194176,2.460816,0
0.105126,3,1.00000000,1.57079633,90.000000,1.57079633,90.000000,0.23753068,13.609505,10.34678364,592.827034,1.33326565,76.390495,-0.14897482,-8.535628,-6.40736055,-367.114718,8.535628,0
0.110109,4,1.00000000,1.57079633,90.000000,1.57079633,90.000000,0.49638009,28.440484,14.00899315,802.656183,1.07441624,61.559516,-0.30860162,-17.681570,-8.65067768,-495.647321,17.681570,0
0.115065,5,1.00000000,1.57079633,90.000000,1.57079633,90.000000,0.77983707,44.681373,13.91744804,797.411035,0.79095925,45.318627,-0.48627290,-27.861385,-8.82711220,-505.756274,27.861385,0
0.120581,6,1.00000000,1.57079633,90.000000,1.57079633,90.000000,1.03435791,59.264342,11.86150837,679.614368,0.53643842,30.735658,-0.65080816,-37.288561,-7.73924255,-443.425935,37.288561,0
0.125610,7,1.00000000,1.57079633,90.000000,1.57079633,90.000000,1.23783290,70.922601,9.13364792,523.319477,0.33296342,19.077399,-0.78265285,-44.842705,-5.82496262,-333.745774,44.842705,0
0.130646,8,0.85697436,1.34613218,77.127693,1.34613218,77.127693,1.38671839,79.453111,6.46727228,370.547407,-0.04058621,-2.325419,-0.87010115,-49.853124,-3.46823478,-198.715215,49.853124,0
0.135658,9,0.53695488,0.84344675,48.325939,0.84344675,48.325939,1.48711455,85.205387,4.21422958,241.457569,-0.64366780,-36.879448,-0.90848678,-52.052458,-0.99001014,-56.723403,52.052458,0
0.140645,10,0.07526532,0.11822649,6.773879,0.11822649,6.773879,1.52707338,87.494860,0.89679331,51.382472,-1.40884690,-80.720981,-0.88945884,-50.962237,2.04081702,116.930202,50.962237,0
0.145740,11,-0.50730574,-0.79687400,-45.657517,-0.79687400,-45.657517,1.47851872,84.712883,-4.20247602,-240.784140,-2.27539272,-130.370400,-0.80022794,-45.849684,5.80741835,332.740561,45.849684,0
0.151255,12,-0.90883994,-1.42760244,-81.795595,-1.42760244,-81.795595,1.33066177,76.241304,-9.26538658,-530.867547,-2.75826421,-158.036898,-0.63982964,-36.659538,9.26082516,530.606196,36.659538,0
0.156388,13,-0.93605900,-1.47035804,-84.245310,-1.47035804,-84.245310,1.08561683,62.201262,-14.00499058,-802.426852,-2.55597486,-146.446572,-0.42054448,-24.095424,11.87010479,680.106907,24.095424,0
0.161408,14,-0.82291913,-1.29263835,-74.062722,-1.29263835,-74.062722,0.74967909,42.953448,-18.43349838,-1056.161659,-2.04231744,-117.016169,-0.15896803,-9.108197,13.75589561,788.154762,9.108197,0
0.166443,15,-0.85364747,-1.34090631,-76.828272,-1.34090631,-76.828272,0.32901064,18.850921,-22.55512619,-1292.313537,-1.66991695,-95.679193,0.14185515,8.127701,15.94990921,913.862481,8.127701,0
0.171390,16,-1.00000000,-1.57079633,-90.000000,-1.57079633,-90.000000,-0.11675429,-6.689528,-21.63497543,-1239.592782,-1.45404203,-83.310472,0.47196731,27.041735,16.75434875,959.953472,27.041735,0
0.176436,17,-0.88505042,-1.39023394,-79.654537,-1.39023394,-79.654537,-0.51168692,-29.317501,-18.38510704,-1053.389039,-0.87854702,-50.337036,0.81112528,46.474055,16.91644859,969.241109,46.474055,0
0.181414,18,-0.52806437,-0.82948157,-47.525793,-0.82948157,-47.525793,-0.84905833,-48.647459,-15.75407219,-902.641847,0.01957676,1.121666,1.14585495,65.652653,16.39246941,939.219313,65.652653,0
0.186389,19,-0.23782960,-0.37358186,-21.404664,-0.37358186,-21.404664,-1.10256672,-63.172420,-10.91789818,-625.549487,0.72898486,41.767756,1.44507229,82.796543,14.01367474,802.924418,82.796543,0
0.191386,20,0.27076855,0.42532225,24.369170,0.42532225,24.369170,-1.24470091,-71.316109,-4.87419701,-279.270917,1.67002316,95.685279,1.69214535,96.952787,11.43351173,655.091967,96.952787,0
0.196497,21,0.81642532,1.28243790,73.478279,1.28243790,73.478279,-1.27114832,-72.831434,0.76039183,43.567243,2.55358622,146.309713,1.89740396,108.713239,9.67200565,554.165103,108.713239,0
0.201470,22,1.00000000,1.57079633,90.000000,1.57079633,90.000000,-1.18957424,-68.157583,6.02544641,345.232649,2.76037057,158.157583,2.07684493,118.994449,8.60837650,493.223642,118.994449,0
0.206456,23,1.00000000,1.57079633,90.000000,1.57079633,90.000000,-1.00700855,-57.697340,10.94864559,627.311184,2.57780488,147.697340,2.23769426,128.210437,7.68068886,440.071055,128.210437,0
0.211414,24,1.00000000,1.57079633,90.000000,1.57079633,90.000000,-0.73003095,-41.827693,15.54976749,890.936050,2.30082728,131.827693,2.37522054,136.090112,6.30816221,361.431071,136.090112,0
0.216415,25,1.00000000,1.57079633,90.000000,1.57079633,90.000000,-0.36489159,-20.906748,19.84371758,1136.961267,1.93568792,110.906748,2.47517776,141.817239,4.08760309,234.202406,141.817239,0
0.222279,26,1.00000000,1.57079633,90.000000,1.57079633,90.000000,0.07352471,4.212655,22.54756927,1291.880558,1.49727162,85.787345,2.51265454,143.964501,0.11132544,6.378478,143.964501,0
0.227451,27,1.00000000,1.57079633,90.000000,1.57079633,90.000000,0.50701141,29.049614,20.75000763,1188.887862,1.06378491,60.950386,2.43550348,139.544071,-6.38733387,-365.967273,139.544071,0
0.232403,28,1.00000000,1.57079633,90.000000,1.57079633,90.000000,0.87517673,50.143933,16.86482239,966.283145,0.69561960,39.856067,2.22398162,127.424760,-12.97430420,-743.372873,127.424760,0
0.237327,29,1.00000000,1.57079633,90.000000,1.57079633,90.000000,1.15806341,66.352146,12.52402496,717.573773,0.41273292,23.647854,1.89904797,108.807434,-17.93955803,-1027.860961,108.807434,0
0.242305,30,1.00000000,1.57079633,90.000000,1.57079633,90.000000,1.35838914,77.829965,8.59372902,492.384403,0.21240719,12.170035,1.50225210,86.072705,-20.72824097,-1187.640724,86.072705,0
0.247403,31,-0.52315700,-0.82177309,-47.084130,-0.82177309,-47.084130,1.48930418,85.330844,5.41917419,310.495810,-2.31107728,-132.414974,1.07092178,61.359298,-21.92250824,-1256.067198,61.359298,0
0.252996,32,-1.00000000,-1.57079633,-90.000000,-1.57079633,-90.000000,1.56688809,89.776075,3.05315375,174.932824,-3.13768442,-179.776075,0.62775463,35.967691,-22.21131134,-1272.614397,35.967691,0
0.258045,33,-1.00000000,-1.57079633,-90.000000,-1.57079633,-90.000000,1.55842006,89.290892,-2.46872211,-141.447357,-3.12921639,-179.290892,0.21346581,12.230690,-19.66493034,-1126.717513,12.230690,0
0.263046,34,-1.00000000,-1.57079633,-90.000000,-1.57079633,-90.000000,1.44366860,82.716118,-7.65562534,-438.635022,-3.01446493,-172.716118,-0.13703519,-7.851538,-16.17258263,-926.620728,7.851538,0
0.268030,35,-1.00000000,-1.57079633,-90.000000,-1.57079633,-90.000000,1.22955430,70.448272,-12.49188423,-715.732245,-2.80035062,-160.448272,-0.41654181,-23.866088,-12.74054337,-729.979364,23.866088,0
0.273016,36,-0.98273861,-1.54368221,-88.446475,-1.54368221,-88.446475,0.92302173,52.885250,-16.98609543,-973.231578,-2.46670394,-141.331725,-0.64020514,-36.681053,-10.43722820,-598.009126,36.681053,0
0.278054,37,-0.59305596,-0.93157013,-53.375037,-0.93157013,-53.375037,0.53061891,30.402224,-21.16250801,-1212.522393,-1.46218904,-83.777261,-0.83817959,-48.024153,-9.79163074,-561.019116,48.024153,0
0.283840,38,-0.59956312,-0.94179155,-53.960681,-0.94179155,-53.960681,0.06568825,3.763660,-23.95367050,-1372.444224,-1.00747980,-57.724341,-1.04585421,-59.923032,-11.05663776,-633.498679,59.923032,0
0.289047,39,-0.60265946,-0.94665527,-54.239352,-0.94665527,-54.239352,-0.33241075,-19.045733,-17.53132057,-1004.470678,-0.61424452,-35.193619,-1.30717802,-74.895784,-13.68869686,-784.304557,74.895784,0
0.294089,40,-0.48377237,-0.75990786,-43.539513,-0.75990786,-43.539513,-0.61575770,-35.280318,-12.23750210,-701.157222,-0.14415015,-8.259195,-1.56998551,-89.953544,-12.48172379,-715.150094,89.953544,0
0.299173,41,-0.71870780,-1.12894357,-64.683702,-1.12894357,-64.683702,-0.80444288,-46.091182,-7.87900352,-451.433649,-0.32450069,-18.592520,-1.78496587,-102.271011,-9.61131287,-550.687663,102.271011,0
