time_s,step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,cylinder_q_rad,cylinder_q_deg,cylinder_qd_rad_s,cylinder_qd_deg_s,cylinder_tracking_error_rad,cylinder_tracking_error_deg,pole_q_rad,pole_q_deg,pole_qd_rad_s,pole_qd_deg_s,pole_lift_deg,done,pole_error_deg
0.000000,0,0.56705976,0.89073538,51.035378,0.89073538,51.035378,0.00000000,0.000000,0.00000000,0.000000,0.89073538,51.035378,0.00000000,0.000000,0.00000000,0.000000,0.000000,0,-180.000000
0.020000,1,0.93875408,1.47459146,84.487867,1.47459146,84.487867,0.00000000,0.000000,0.00000000,0.000000,1.47459146,84.487867,-0.00000000,-0.000000,-0.00000006,-0.000004,0.000000,0,180.000000
0.040000,2,1.00000000,1.57079633,90.000000,1.57079633,90.000000,0.06749900,3.867408,5.35347033,306.731255,1.50329732,86.132592,-0.04294933,-2.460815,-3.38932729,-194.194149,2.460815,0,177.539185
0.060000,3,1.00000000,1.57079633,90.000000,1.57079633,90.000000,0.23753065,13.609504,10.34678268,592.826979,1.33326568,76.390496,-0.14897481,-8.535628,-6.40736055,-367.114718,8.535628,0,171.464372
0.080000,4,1.00000000,1.57079633,90.000000,1.57079633,90.000000,0.49638006,28.440483,14.00899220,802.656128,1.07441627,61.559517,-0.30860162,-17.681570,-8.65067863,-495.647376,17.681570,0,162.318430
0.100000,5,1.00000000,1.57079633,90.000000,1.57079633,90.000000,0.77983701,44.681370,13.91744804,797.411035,0.79095931,45.318630,-0.48627290,-27.861385,-8.82711411,-505.756384,27.861385,0,152.138615
0.120000,6,1.00000000,1.57079633,90.000000,1.57079633,90.000000,1.03435791,59.264342,11.86150932,679.614423,0.53643842,30.735658,-0.65080822,-37.288564,-7.73924446,-443.426044,37.288564,0,142.711436
0.140000,7,1.00000000,1.57079633,90.000000,1.57079633,90.000000,1.23783290,70.922601,9.13364792,523.319477,0.33296342,19.077399,-0.78265297,-44.842712,-5.82496452,-333.745883,44.842712,0,135.157288
0.160000,8,1.00000000,1.57079633,90.000000,1.57079633,90.000000,1.38671839,79.453111,6.46727228,370.547407,0.18407793,10.546889,-0.87010133,-49.853134,-3.46823597,-198.715283,49.853134,0,130.146866
0.180000,9,1.00000000,1.57079633,90.000000,1.57079633,90.000000,1.48711455,85.205387,4.21422863,241.457514,0.08368178,4.794613,-0.90848708,-52.052476,-0.99001145,-56.723478,52.052476,0,127.947524
0.200000,10,1.00000000,1.57079633,90.000000,1.57079633,90.000000,1.54899657,88.750966,2.48892236,142.604747,0.02179976,1.249034,-0.89839607,-51.474303,1.38288796,79.233644,51.474303,0,128.525697
0.220000,11,1.00000000,1.57079633,90.000000,1.57079633,90.000000,1.58282971,90.689462,1.27266955,72.918594,-0.01203339,-0.689462,-0.84311885,-48.307152,3.56328297,204.161075,48.307152,0,131.692848
0.240000,12,0.91933393,1.44408637,82.740054,1.44408637,82.740054,1.59783292,91.549083,0.48385152,27.722650,-0.15374655,-8.809028,-0.74746776,-42.826748,5.47667599,313.790420,42.826748,0,137.173252
0.260000,13,0.72526157,1.13923821,65.273541,1.13923821,65.273541,1.60129631,91.747520,0.02122609,1.216166,-0.46205810,-26.473979,-0.61757922,-35.384683,7.06011820,404.514976,35.384683,0,144.615317
0.280000,14,0.39413619,0.61910768,35.472257,0.61910768,35.472257,1.58612251,90.878126,-1.11195183,-63.710147,-0.96701483,-55.405869,-0.45420116,-26.023810,8.73542500,500.502984,26.023810,0,153.976190
0.300000,15,0.00292836,0.00459986,0.263553,0.00459986,0.263553,1.52814329,87.556161,-3.68061590,-210.883757,-1.52354343,-87.292608,-0.24973804,-14.308936,10.89146900,624.035206,14.308936,0,165.691064
0.320000,16,-0.19435807,-0.30529694,-17.492226,-0.30529694,-17.492226,1.39538705,79.949789,-8.01080894,-458.985543,-1.70068399,-97.442015,0.00703972,0.403346,13.68732357,784.225873,0.403346,0,-179.596654
0.340000,17,-0.27961171,-0.43921304,-25.165054,-0.43921304,-25.165054,1.17451775,67.294910,-12.81822395,-734.430133,-1.61373079,-92.459964,0.31583145,18.095809,16.44666862,942.324699,18.095809,0,-161.904191
