time_s,step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0.87310636,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,-0.00000000,-0.000000,0.00000000,0.000000,-0.00000006,-0.000004,0.000000,0.000000,0.00000000,0
0.020000,1,1.51356244,2.37749839,136.220623,2.37749839,136.220623,0.00000000,0.000000,0.06749902,3.867409,0.00000000,0.000000,5.35347128,306.731310,2.37749839,136.220623,2.30999937,132.353215,-0.00000000,-0.000000,-0.04294933,-2.460816,-0.00000006,-0.000004,-3.38932776,-194.194176,0.000000,2.460816,0.04527468,0
0.040000,2,2.20277977,3.46011853,198.250189,3.46011853,198.250189,0.06749902,3.867409,0.23753068,13.609505,5.35347128,306.731310,10.34678364,592.827034,3.39261951,194.382780,3.22258785,184.640683,-0.04294933,-2.460816,-0.14897482,-8.535628,-3.38932776,-194.194176,-6.40736055,-367.114718,2.460816,8.535628,0.08216555,0
0.060000,3,2.57571912,4.04593039,231.814735,4.04593039,231.814735,0.23753068,13.609505,0.50314623,28.828156,10.34678364,592.827034,14.99962425,859.415164,3.80839971,218.205230,3.54278415,202.986580,-0.14897482,-8.535628,-0.31288266,-17.926856,-6.40736055,-367.114718,-9.27913857,-531.655477,8.535628,17.926856,0.11509390,0
0.080000,4,2.72528744,4.28087139,245.275863,4.28087139,245.275863,0.50314623,28.828156,0.85771728,49.143580,14.99962425,859.415164,19.32559776,1107.275188,3.77772516,216.447708,3.42315412,196.132283,-0.31288266,-17.926856,-0.53839600,-30.847819,-9.27913857,-531.655477,-12.56688786,-720.029636,17.926856,30.847819,0.15556782,0
0.100000,5,2.80318713,4.40323639,252.286861,4.40323639,252.286861,0.85771728,49.143580,1.29479206,74.186120,19.32559776,1107.275188,23.33065224,1336.747906,3.54551911,203.143281,3.10844433,178.100741,-0.53839600,-30.847819,-0.84048986,-48.156522,-12.56688786,-720.029636,-16.73147774,-958.643059,30.847819,48.156522,0.20685397,0
0.120000,6,2.84233880,4.46473551,255.810501,4.46473551,255.810501,1.29479206,74.186120,1.77202344,101.529464,23.33065224,1336.747906,23.55484581,1349.593252,3.16994345,181.624381,2.69271207,154.281037,-0.84048986,-48.156522,-1.21257114,-69.475209,-16.73147774,-958.643059,-19.29707718,-1105.641079,48.156522,69.475209,0.26512912,0
0.140000,7,2.76392245,4.34155941,248.753031,4.34155941,248.753031,1.77202344,101.529464,2.20568681,126.376545,23.55484581,1349.593252,20.29145241,1162.614583,2.56953597,147.223566,2.13587260,122.376486,-1.21257114,-69.475209,-1.59028709,-91.116738,-19.29707718,-1105.641079,-18.22464180,-1044.195058,69.475209,91.116738,0.31701493,0
0.160000,8,2.49650574,3.92150211,224.685520,3.92150211,224.685520,2.20568681,126.376545,2.55586052,146.440021,20.29145241,1162.614583,15.77940273,904.093180,1.71581531,98.308975,1.36564159,78.245500,-1.59028709,-91.116738,-1.91822839,-109.906391,-18.22464180,-1044.195058,-15.24769688,-873.628678,91.116738,109.906391,0.35465100,0
0.180000,9,2.14177132,3.36428666,192.759427,3.36428666,192.759427,2.55586052,146.440021,2.81449318,161.258581,15.77940273,904.093180,11.27445030,645.978419,0.80842614,46.319406,0.54979348,31.500846,-1.91822839,-109.906391,-2.19084215,-125.526009,-15.24769688,-873.628678,-12.81135178,-734.036387,109.906391,125.526009,-0.15870404,0
0.200000,10,1.91691935,3.01109004,172.522751,3.01109004,172.522751,2.81449318,161.258581,2.99036360,171.335213,11.27445030,645.978419,7.40631104,424.350364,0.19659686,11.264170,0.02072644,1.187538,-2.19084215,-125.526009,-2.43025088,-139.243119,-12.81135178,-734.036387,-11.60618401,-664.985360,125.526009,139.243119,-0.14026248,0
0.220000,11,1.69977498,2.67000031,152.979749,2.67000031,152.979749,2.99036360,171.335213,3.08686256,176.864197,7.40631104,424.350364,3.48278475,199.548867,-0.32036328,-18.355464,-0.41686225,-23.884448,-2.43025088,-139.243119,-2.66391635,-152.631164,-11.60618401,-664.985360,-11.77583218,-674.705484,139.243119,152.631164,0.01218739,0
0.240000,12,1.45494664,2.28542495,130.945204,2.28542495,130.945204,3.08686256,176.864197,3.09108448,177.106095,3.48278475,199.548867,-1.39266229,-79.793671,-0.80143762,-45.918993,-0.80565953,-46.160891,-2.66391635,-152.631164,-2.92274165,-167.460761,-11.77583218,-674.705484,-13.54100227,-775.842281,152.631164,167.460761,0.08991712,0
