time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,0.87310636,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,-0.00000000,-0.000000,0.00000000,0.000000,-0.00000003,-0.000002,0.000000,0.000000,0.00000000,0
0.005000,0,1,1,0.87310636,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,1.37147236,78.579578,1.37147236,78.579578,-0.00000000,-0.000000,-0.00000000,-0.000000,-0.00000003,-0.000002,-0.00000005,-0.000003,0.000000,0.000000,0.00000000,0
0.010000,0,2,2,0.87310636,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,1.37147236,78.579578,1.37147236,78.579578,-0.00000000,-0.000000,-0.00000000,-0.000000,-0.00000005,-0.000003,-0.00000006,-0.000003,0.000000,0.000000,0.00000000,0
0.015000,0,3,3,0.87310636,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,1.37147236,78.579578,1.37147236,78.579578,-0.00000000,-0.000000,-0.00000000,-0.000000,-0.00000006,-0.000003,-0.00000006,-0.000004,0.000000,0.000000,0.00000000,0
0.020000,1,0,4,1.51356244,2.37749839,136.220623,2.37749839,136.220623,0.00000000,0.000000,0.01607602,0.921088,0.00000000,0.000000,3.21520472,184.217660,2.37749839,136.220623,2.36142237,135.299535,-0.00000000,-0.000000,-0.01033984,-0.592429,-0.00000006,-0.000004,-2.06796718,-118.485791,0.000000,0.592429,0.07013534,0
0.025000,1,1,5,1.51356244,2.37749839,136.220623,2.37749839,136.220623,0.01607602,0.921088,0.04544824,2.603992,3.21520472,184.217660,5.87444305,336.580794,2.36142237,135.299535,2.33205015,133.616631,-0.01033984,-0.592429,-0.02915423,-1.670414,-2.06796718,-118.485791,-3.76287794,-215.597025,0.592429,1.670414,0.07013534,0
0.030000,1,2,6,1.51356244,2.37749839,136.220623,2.37749839,136.220623,0.04544824,2.603992,0.08562877,4.906167,5.87444305,336.580794,8.03610706,460.435018,2.33205015,133.616631,2.29186962,131.314456,-0.02915423,-1.670414,-0.05476591,-3.137855,-3.76287794,-215.597025,-5.12233686,-293.488284,1.670414,3.137855,0.07013534,0
0.035000,1,3,7,1.51356244,2.37749839,136.220623,2.37749839,136.220623,0.08562877,4.906167,0.13440371,7.700765,8.03610706,460.435018,9.75498676,558.919571,2.29186962,131.314456,2.24309468,128.519858,-0.05476591,-3.137855,-0.08569608,-4.910024,-5.12233686,-293.488284,-6.18603373,-354.433624,3.137855,4.910024,0.07013534,0
0.040000,2,0,8,2.30099201,3.61438990,207.089287,3.61438990,207.089287,0.13440371,7.700765,0.20160651,11.551202,9.75498676,558.919571,13.44056129,770.087436,3.47998619,199.388521,3.41278338,195.538084,-0.08569608,-4.910024,-0.12823468,-7.347306,-6.18603373,-354.433624,-8.50771999,-487.456449,4.910024,7.347306,0.11452860,0
0.045000,2,1,9,2.30099201,3.61438990,207.089287,3.61438990,207.089287,0.20160651,11.551202,0.28347579,16.241966,13.44056129,770.087436,16.37385368,938.152710,3.41278338,195.538084,3.33091411,190.847320,-0.12823468,-7.347306,-0.18008459,-10.318087,-8.50771999,-487.456449,-10.36997986,-594.156080,7.347306,10.318087,0.11452860,0
0.050000,2,2,10,2.30099201,3.61438990,207.089287,3.61438990,207.089287,0.28347579,16.241966,0.37668288,21.582339,16.37385368,938.152710,18.64141846,1068.074602,3.33091411,190.847320,3.23770702,185.506947,-0.18008459,-10.318087,-0.23942083,-13.717803,-10.36997986,-594.156080,-11.86724949,-679.943310,10.318087,13.717803,0.11452860,0
0.055000,2,3,11,2.30099201,3.61438990,207.089287,3.61438990,207.089287,0.37668288,21.582339,0.47830150,27.404657,18.64141846,1068.074602,20.32372475,1164.463652,3.23770702,185.506947,3.13608840,179.684630,-0.23942083,-13.717803,-0.30486184,-17.467297,-11.86724949,-679.943310,-13.08820534,-749.898927,13.717803,17.467297,0.11452860,0
0.060000,3,0,12,2.63378167,4.13713455,237.040349,4.13713455,237.040349,0.47830150,27.404657,0.59472728,34.075363,20.32372475,1164.463652,23.28515816,1334.141288,3.65883306,209.635692,3.54240727,202.964986,-0.30486184,-17.467297,-0.38089591,-21.823728,-13.08820534,-749.898927,-15.20681190,-871.286142,17.467297,21.823728,0.17710249,0
0.065000,3,1,13,2.63378167,4.13713455,237.040349,4.13713455,237.040349,0.59472728,34.075363,0.72219515,41.378734,23.28515816,1334.141288,25.49357986,1460.674531,3.54240727,202.964986,3.41493940,195.661615,-0.38089591,-21.823728,-0.46632794,-26.718623,-15.20681190,-871.286142,-17.08640480,-978.978882,21.823728,26.718623,0.17710249,0
0.070000,3,2,14,2.63378167,4.13713455,237.040349,4.13713455,237.040349,0.72219515,41.378734,0.85741568,49.126300,25.49357986,1460.674531,27.04409981,1549.512780,3.41493940,195.661615,3.27971888,187.914050,-0.46632794,-26.718623,-0.56041682,-32.109518,-17.08640480,-978.978882,-18.81778336,-1078.179566,26.718623,32.109518,0.17710249,0
0.075000,3,3,15,2.63378167,4.13713455,237.040349,4.13713455,237.040349,0.85741568,49.126300,0.99753773,57.154702,27.04409981,1549.512780,28.02440453,1605.680103,3.27971888,187.914050,3.13959682,179.885647,-0.56041682,-32.109518,-0.66264272,-37.966631,-18.81778336,-1078.179566,-20.44518280,-1171.422686,32.109518,37.966631,0.17710249,0
0.080000,4,0,16,2.79601908,4.39197683,251.641736,4.39197683,251.641736,0.99753773,57.154702,1.14011288,65.323656,28.02440453,1605.680103,28.51502609,1633.790648,3.39443910,194.487034,3.25186396,186.318080,-0.66264272,-37.966631,-0.77246469,-44.258967,-20.44518280,-1171.422686,-21.96439362,-1258.467054,37.966631,44.258967,0.25395983,0
0.085000,4,1,17,2.79601908,4.39197683,251.641736,4.39197683,251.641736,1.14011288,65.323656,1.28306127,73.513995,28.51502609,1633.790648,28.58968735,1638.068423,3.25186396,186.318080,3.10891557,178.127741,-0.77246469,-44.258967,-0.88911289,-50.942416,-21.96439362,-1258.467054,-23.32964325,-1336.690096,44.258967,50.942416,0.25395983,0
0.090000,4,2,18,2.79601908,4.39197683,251.641736,4.39197683,251.641736,1.28306127,73.513995,1.42463958,81.625835,28.58968735,1638.068423,28.31565666,1622.367621,3.10891557,178.127741,2.96733725,170.015901,-0.88911289,-50.942416,-1.01145577,-57.952147,-23.32964325,-1336.690096,-24.46857643,-1401.946160,50.942416,57.952147,0.25395983,0
0.095000,4,3,19,2.79601908,4.39197683,251.641736,4.39197683,251.641736,1.42463958,81.625835,1.56340957,89.576770,28.31565666,1622.367621,27.75399399,1590.186720,2.96733725,170.015901,2.82856727,162.064966,-1.01145577,-57.952147,-1.13797235,-65.201013,-24.46857643,-1401.946160,-25.30330849,-1449.772784,57.952147,65.201013,0.25395983,0
0.100000,5,0,20,2.96094108,4.65103531,266.484694,4.65103531,266.484694,1.56340957,89.576770,1.69820774,97.300136,27.75399399,1590.186720,26.95964241,1544.673727,3.08762574,176.907924,2.95282757,169.184558,-1.13797235,-65.201013,-1.26683843,-72.584495,-25.30330849,-1449.772784,-25.77321625,-1476.696515,65.201013,72.584495,0.32428321,0
0.105000,5,1,21,2.96094108,4.65103531,266.484694,4.65103531,266.484694,1.69820774,97.300136,1.82811463,104.743253,26.95964241,1544.673727,25.98138618,1488.623774,2.95282757,169.184558,2.82292068,161.741441,-1.26683843,-72.584495,-1.39610565,-79.990961,-25.77321625,-1476.696515,-25.85345078,-1481.293615,72.584495,79.990961,0.32428321,0
0.110000,5,2,22,2.96094108,4.65103531,266.484694,4.65103531,266.484694,1.82811463,104.743253,1.95242369,111.865637,25.98138618,1488.623774,24.86182213,1424.477479,2.82292068,161.741441,2.69861162,154.619056,-1.39610565,-79.990961,-1.52392375,-87.314399,-25.85345078,-1481.293615,-25.56363106,-1464.688169,79.990961,87.314399,0.32428321,0
0.115000,5,3,23,2.96094108,4.65103531,266.484694,4.65103531,266.484694,1.95242369,111.865637,2.07061148,118.637299,24.86182213,1424.477479,23.63753510,1354.330999,2.69861162,154.619056,2.58042383,147.847395,-1.52392375,-87.314399,-1.64874625,-94.466202,-25.56363106,-1464.688169,-24.96450424,-1430.360731,87.314399,94.466202,0.32428321,0
0.120000,6,0,24,2.80635214,4.40820789,252.571708,4.40820789,252.571708,2.07061148,118.637299,2.18230915,125.037104,23.63753510,1354.330999,22.33954239,1279.961495,2.33759642,133.934409,2.22589874,127.534604,-1.64874625,-94.466202,-1.76947081,-101.383209,-24.96450424,-1430.360731,-24.14491272,-1383.401596,94.466202,101.383209,-0.16741797,0
0.125000,6,1,25,2.80635214,4.40820789,252.571708,4.40820789,252.571708,2.18230915,125.037104,2.28727913,131.051441,22.33954239,1279.961495,20.99400139,1202.867675,2.22589874,127.534604,2.12092876,121.520267,-1.76947081,-101.383209,-1.88549328,-108.030807,-24.14491272,-1383.401596,-23.20450592,-1329.520255,101.383209,108.030807,-0.16741797,0
0.130000,6,2,26,2.80635214,4.40820789,252.571708,4.40820789,252.571708,2.28727913,131.051441,2.38539410,136.673014,20.99400139,1202.867675,19.62298775,1124.314379,2.12092876,121.520267,2.02281380,115.898693,-1.88549328,-108.030807,-1.99668264,-114.401489,-23.20450592,-1329.520255,-22.23787880,-1274.136601,108.030807,114.401489,-0.16741797,0
0.135000,6,3,27,2.80635214,4.40820789,252.571708,4.40820789,252.571708,2.38539410,136.673014,2.47662020,141.899885,19.62298775,1124.314379,18.24520683,1045.373348,2.02281380,115.898693,1.93158770,110.671823,-1.99668264,-114.401489,-2.10330105,-120.510273,-22.23787880,-1274.136601,-21.32366943,-1221.756262,114.401489,120.510273,-0.16741797,0
0.140000,7,0,28,2.41662049,3.79601860,217.495845,3.79601860,217.495845,2.47662020,141.899885,2.56100297,146.734661,18.24520683,1045.373348,16.87655449,966.955345,1.31939840,75.595960,1.23501563,70.761183,-2.10330105,-120.510273,-2.20589828,-126.388662,-21.32366943,-1221.756262,-20.51945305,-1175.678058,120.510273,126.388662,-0.13847563,0
0.145000,7,1,29,2.41662049,3.79601860,217.495845,3.79601860,217.495845,2.56100297,146.734661,2.63865566,151.183833,16.87655449,966.955345,15.53051853,889.833166,1.23501563,70.761183,1.15736294,66.312012,-2.20589828,-126.388662,-2.30520511,-132.078524,-20.51945305,-1175.678058,-19.86138535,-1137.973556,126.388662,132.078524,-0.13847563,0
0.150000,7,2,30,2.41662049,3.79601860,217.495845,3.79601860,217.495845,2.63865566,151.183833,2.70974779,155.257112,15.53051853,889.833166,14.21843815,814.656497,1.15736294,66.312012,1.08627081,62.238733,-2.30520511,-132.078524,-2.40203929,-137.626714,-19.86138535,-1137.973556,-19.36681938,-1109.637013,132.078524,137.626714,-0.13847563,0
0.155000,7,3,31,2.41662049,3.79601860,217.495845,3.79601860,217.495845,2.70974779,155.257112,2.77449632,158.966929,14.21843815,814.656497,12.94970512,741.963450,1.08627081,62.238733,1.02152228,58.528916,-2.40203929,-137.626714,-2.49723053,-143.080770,-19.36681938,-1109.637013,-19.03825188,-1090.811482,137.626714,143.080770,-0.13847563,0
0.160000,8,0,32,2.01404405,3.16365314,181.263972,3.16365314,181.263972,2.77449632,158.966929,2.83315587,162.327874,12.94970512,741.963450,11.73192692,672.189898,0.38915682,22.297043,0.33049726,18.936098,-2.49723053,-143.080770,-2.59156775,-148.485895,-19.03825188,-1090.811482,-18.86746216,-1081.025952,143.080770,148.485895,-0.05441684,0
0.165000,8,1,33,2.01404405,3.16365314,181.263972,3.16365314,181.263972,2.83315587,162.327874,2.88601136,165.356271,11.73192692,672.189898,10.57107544,605.678008,0.33049726,18.936098,0.27764177,15.907702,-2.59156775,-148.485895,-2.68576384,-153.882933,-18.86746216,-1081.025952,-18.83923149,-1079.408454,148.485895,153.882933,-0.05441684,0
0.170000,8,2,34,2.01404405,3.16365314,181.263972,3.16365314,181.263972,2.88601136,165.356271,2.93336964,168.069700,10.57107544,605.678008,9.47164059,542.685031,0.27764177,15.907702,0.23028350,13.194273,-2.68576384,-153.882933,-2.78043580,-159.307237,-18.83923149,-1079.408454,-18.93439865,-1084.861130,153.882933,159.307237,-0.05441684,0
