time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,0.14235348,0.22360831,12.811813,0.22360831,12.811813,0.00000000,1.78886652,0.00000000,1.78886652,0.00000000,0.000000,0.00292057,0.167336,0.00000000,0.000000,0.58411390,33.467261,0.22360831,12.811813,0.22068775,12.644476,0.00000000,0.000000,-0.00186548,-0.106884,0.00000000,0.000000,-0.37309685,-21.376875,0.000000,0.106884,0.01250107,0
0.005000,0,1,1,0.14235348,0.22360831,12.811813,0.22360831,12.811813,1.78886652,1.67788482,1.78886652,1.67788482,0.00292057,0.167336,0.00853276,0.488891,0.58411390,33.467261,1.12243879,64.311005,0.22068775,12.644476,0.21507555,12.322921,-0.00186548,-0.106884,-0.00543517,-0.311412,-0.37309685,-21.376875,-0.71393776,-40.905620,0.106884,0.311412,0.01250107,0
0.010000,0,2,2,0.14235348,0.22360831,12.811813,0.22360831,12.811813,1.67788482,1.55223858,1.67788482,1.55223858,0.00853276,0.488891,0.01658741,0.950389,1.12243879,64.311005,1.61092949,92.299461,0.21507555,12.322921,0.20702090,11.861424,-0.00543517,-0.311412,-0.01053070,-0.603365,-0.71393776,-40.905620,-1.01910603,-58.390474,0.311412,0.603365,0.01250107,0
0.015000,0,3,3,0.14235348,0.22360831,12.811813,0.22360831,12.811813,1.55223858,1.41452777,1.55223858,1.41452777,0.01658741,0.950389,0.02681969,1.536655,1.61092949,92.299461,2.04645634,117.253311,0.20702090,11.861424,0.19678862,11.275158,-0.01053070,-0.603365,-0.01696035,-0.971756,-1.01910603,-58.390474,-1.28592861,-73.678282,0.603365,0.971756,0.01250107,0
0.020000,1,0,4,0.38792151,0.60934567,34.912935,0.60934567,34.912935,1.26734054,4.35323954,1.26734054,4.35323954,0.02681969,1.536655,0.04399189,2.520549,2.04645634,117.253311,3.43443918,196.778870,0.58252598,33.376280,0.56535379,32.392386,-0.01696035,-0.971756,-0.02776773,-1.590974,-1.28592861,-73.678282,-2.16147685,-123.843501,0.971756,1.590974,0.05975906,0
0.025000,1,1,5,0.38792151,0.60934567,34.912935,0.60934567,34.912935,4.35323954,4.00766420,4.35323954,4.00766420,0.04399189,2.520549,0.06742617,3.863235,3.43443918,196.778870,4.68685818,268.537193,0.56535379,32.392386,0.54191950,31.049700,-0.02776773,-1.590974,-0.04247023,-2.433365,-2.16147685,-123.843501,-2.94050026,-168.478255,1.590974,2.433365,0.05975906,0
0.030000,1,2,6,0.38792151,0.60934567,34.912935,0.60934567,34.912935,4.00766420,3.63232708,4.00766420,3.63232708,0.06742617,3.863235,0.09640710,5.523720,4.68685818,268.537193,5.79618549,332.096966,0.54191950,31.049700,0.51293857,29.389215,-0.04247023,-2.433365,-0.06055910,-3.469781,-2.94050026,-168.478255,-3.61777329,-207.283141,2.433365,3.469781,0.05975906,0
0.035000,1,3,7,0.38792151,0.60934567,34.912935,0.60934567,34.912935,3.63232708,3.23408079,3.63232708,3.23408079,0.09640710,5.523720,0.13019335,7.459530,5.79618549,332.096966,6.75725174,387.162006,0.51293857,29.389215,0.47915232,27.453406,-0.06055910,-3.469781,-0.08151190,-4.670288,-3.61777329,-207.283141,-4.19056034,-240.101421,3.469781,4.670288,0.05975906,0
0.040000,2,0,8,0.56835151,0.89276451,51.151638,0.89276451,51.151638,2.81963086,5.08698177,2.81963086,5.08698177,0.13019335,7.459530,0.17173079,9.839449,6.75725174,387.162006,8.30748653,475.983917,0.76257116,43.692109,0.72103372,41.312189,-0.08151190,-4.670288,-0.10718018,-6.140972,-4.19056034,-240.101421,-5.13365602,-294.136824,4.670288,6.140972,0.09384071,0
0.045000,2,1,9,0.56835151,0.89276451,51.151638,0.89276451,51.151638,5.08698177,4.52214670,5.08698177,4.52214670,0.17173079,9.839449,0.21996947,12.603322,8.30748653,475.983917,9.64773560,552.774531,0.72103372,41.312189,0.67279504,38.548316,-0.10718018,-6.140972,-0.13686669,-7.841884,-5.13365602,-294.136824,-5.93730211,-340.182353,6.140972,7.841884,0.09384071,0
