time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,joint_pos_target_vel_rad_s,joint_pos_target_vel_deg_s,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,-0.24090917,-0.08409316,-4.818183,-0.08409316,-4.818183,0.00000000,0.000000,0.00000000,-0.84093159,0.00000000,-0.84093159,0.00000000,0.000000,-0.00868079,-0.497373,0.00000000,0.000000,-1.73615897,-99.474581,-0.08409316,-4.818183,-0.07541237,-4.320810,3.14159274,180.000005,3.13535166,179.642417,0.00000000,0.000000,-1.24822390,-71.517961,179.999995,179.642417,1.18878841,0
0.005000,0,1,1,-0.24090917,-0.08409316,-4.818183,-0.08409316,-4.818183,0.00000000,0.000000,-0.84093159,0.02714787,-0.84093159,0.02714787,-0.00868079,-0.497373,-0.01707727,-0.978456,-1.73615897,-99.474581,-1.67929518,-96.216526,-0.07541237,-4.320810,-0.06701589,-3.839728,3.13535166,179.642417,3.12941217,179.302110,-1.24822390,-71.517961,-1.18791676,-68.062617,179.642417,179.302110,1.18878841,0
0.010000,0,2,2,-0.24090917,-0.08409316,-4.818183,-0.08409316,-4.818183,0.00000000,0.000000,0.02714787,0.08552389,0.02714787,0.08552389,-0.01707727,-0.978456,-0.02458897,-1.408844,-1.67929518,-96.216526,-1.50233948,-86.077712,-0.06701589,-3.839728,-0.05950419,-3.409339,3.12941217,179.302110,3.12419343,179.003098,-1.18791676,-68.062617,-1.04373801,-59.801783,179.302110,179.003098,1.18878841,0
0.015000,0,3,3,-0.24090917,-0.08409316,-4.818183,-0.08409316,-4.818183,0.00000000,0.000000,0.08552389,0.08101080,0.08552389,0.08101080,-0.02458897,-1.408844,-0.03126301,-1.791238,-1.50233948,-86.077712,-1.33480835,-76.478885,-0.05950419,-3.409339,-0.05283015,-3.026945,3.12419343,179.003098,3.11964345,178.742403,-1.04373801,-59.801783,-0.91001904,-52.140250,179.003098,178.742403,1.18878841,0
0.020000,1,0,4,0.16922878,-0.06346656,-3.636366,-0.06346656,-3.636366,1.03132986,59.090848,0.07236223,0.27862820,0.07236223,0.27862820,-0.03126301,-1.791238,-0.03505895,-2.008730,-1.33480835,-76.478885,-0.75918770,-43.498251,-0.03220356,-1.845128,-0.02840762,-1.627637,3.11964345,178.742403,3.11723828,178.604597,-0.91001904,-52.140250,-0.48103955,-27.561536,178.742403,178.604597,1.51345634,0
0.025000,1,1,5,0.16922878,-0.06346656,-3.636366,-0.06346656,-3.636366,1.03132986,59.090848,0.27862820,0.05755827,0.27862820,0.05755827,-0.03505895,-2.008730,-0.03826036,-2.192157,-0.75918770,-43.498251,-0.64028317,-36.685523,-0.02840762,-1.627637,-0.02520620,-1.444209,3.11723828,178.604597,3.11529756,178.493402,-0.48103955,-27.561536,-0.38814977,-22.239344,178.604597,178.493402,1.51345634,0
0.030000,1,2,6,0.16922878,-0.06346656,-3.636366,-0.06346656,-3.636366,1.03132986,59.090848,0.05755827,0.03606543,0.05755827,0.03606543,-0.03826036,-2.192157,-0.04108945,-2.354252,-0.64028317,-36.685523,-0.56581682,-32.418916,-0.02520620,-1.444209,-0.02237712,-1.282114,3.11529756,178.493402,3.11365199,178.399118,-0.38814977,-22.239344,-0.32911888,-18.857123,178.493402,178.399118,1.51345634,0
0.035000,1,3,7,0.16922878,-0.06346656,-3.636366,-0.06346656,-3.636366,1.03132986,59.090848,0.03606543,0.03084639,0.03606543,0.03084639,-0.04108945,-2.354252,-0.04360028,-2.498112,-0.56581682,-32.418916,-0.50216585,-28.771984,-0.02237712,-1.282114,-0.01986629,-1.138254,3.11365199,178.399118,3.11225629,178.319150,-0.32911888,-18.857123,-0.27912483,-15.992674,178.399118,178.319150,1.51345634,0
0.040000,2,0,8,-0.22523136,-0.07862058,-4.504627,-0.07862058,-4.504627,-0.75770058,-43.413045,0.02731177,-0.12422834,0.02731177,-0.12422834,-0.04360028,-2.498112,-0.04739264,-2.715398,-0.50216585,-28.771984,-0.75847316,-43.457311,-0.03502030,-2.006515,-0.03122794,-1.789229,3.11225629,178.319150,3.10993624,178.186221,-0.27912483,-15.992674,-0.46403199,-26.587075,178.319150,178.186221,1.46829796,0
0.045000,2,1,9,-0.22523136,-0.07862058,-4.504627,-0.07862058,-4.504627,-0.75770058,-43.413045,-0.12422834,0.02903356,-0.12422834,0.02903356,-0.04739264,-2.715398,-0.05088571,-2.915536,-0.75847316,-43.457311,-0.69861400,-40.027634,-0.03122794,-1.789229,-0.02773486,-1.589091,3.10993624,178.186221,3.10784149,178.066201,-0.46403199,-26.587075,-0.41895789,-24.004519,178.186221,178.066201,1.46829796,0
