time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,joint_pos_target_vel_rad_s,joint_pos_target_vel_deg_s,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,-0.48929036,-0.10471976,-6.000000,-0.10471976,-6.000000,0.00000000,0.000000,0.00000000,-1.04719758,0.00000000,-1.04719758,0.00000000,0.000000,-0.00282164,-0.161668,0.00000000,0.000000,-0.56432867,-32.333651,-0.10471976,-6.000000,-0.10189811,-5.838332,0.00000000,0.000000,0.00185757,0.106431,0.00000000,0.000000,0.37151447,21.286211,0.000000,0.106431,0.00626959,0
0.005000,0,1,1,-0.48929036,-0.10471976,-6.000000,-0.10471976,-6.000000,0.00000000,0.000000,-1.04719758,-0.76503325,-1.04719758,-0.76503325,-0.00282164,-0.161668,-0.00765257,-0.438460,-0.56432867,-32.333651,-0.96618617,-55.358390,-0.10189811,-5.838332,-0.09706718,-5.561540,0.00185757,0.106431,0.00505466,0.289611,0.37151447,21.286211,0.63941807,36.635957,0.106431,0.289611,0.00626959,0
0.010000,0,2,2,-0.48929036,-0.10471976,-6.000000,-0.10471976,-6.000000,0.00000000,0.000000,-0.76503325,-0.53588808,-0.76503325,-0.53588808,-0.00765257,-0.438460,-0.01383427,-0.792645,-0.96618617,-55.358390,-1.23633957,-70.837039,-0.09706718,-5.561540,-0.09088549,-5.207355,0.00505466,0.289611,0.00916791,0.525283,0.63941807,36.635957,0.82264990,47.134367,0.289611,0.525283,0.00626959,0
0.015000,0,3,3,-0.48929036,-0.10471976,-6.000000,-0.10471976,-6.000000,0.00000000,0.000000,-0.53588808,-0.35250211,-0.53588808,-0.35250211,-0.01383427,-0.792645,-0.02084080,-1.194090,-1.23633957,-70.837039,-1.40130579,-80.288908,-0.09088549,-5.207355,-0.08387896,-4.805910,0.00916791,0.525283,0.01385618,0.793900,0.82264990,47.134367,0.93765277,53.723546,0.525283,0.793900,0.00626959,0
0.020000,1,0,4,-1.20824599,-0.31415927,-18.000001,-0.31415927,-18.000001,-10.47197580,-600.000017,-0.20820200,-2.30259705,-0.20820200,-2.30259705,-0.02084080,-1.194090,-0.03419779,-1.959389,-1.40130579,-80.288908,-2.67139816,-153.059840,-0.29331847,-16.805911,-0.27996148,-16.040611,0.01385618,0.793900,0.02249397,1.288810,0.93765277,53.723546,1.72755921,98.981852,0.793900,1.288810,0.03528901,0
0.025000,1,1,5,-1.20824599,-0.31415927,-18.000001,-0.31415927,-18.000001,-10.47197580,-600.000017,-2.30259705,-1.59748566,-2.30259705,-1.59748566,-0.03419779,-1.959389,-0.05187818,-2.972401,-2.67139816,-153.059840,-3.53607702,-202.602289,-0.27996148,-16.040611,-0.26228110,-15.027600,0.02249397,1.288810,0.03378363,1.935659,1.72755921,98.981852,2.25793099,129.369916,1.288810,1.935659,0.03528901,0
0.030000,1,2,6,-1.20824599,-0.31415927,-18.000001,-0.31415927,-18.000001,-10.47197580,-600.000017,-1.59748566,-1.03157640,-1.59748566,-1.03157640,-0.05187818,-2.972401,-0.07225829,-4.140095,-3.53607702,-202.602289,-4.07602262,-233.538894,-0.26228110,-15.027600,-0.24190098,-13.859905,0.03378363,1.935659,0.04668026,2.674582,2.25793099,129.369916,2.57932687,147.784544,1.935659,2.674582,0.03528901,0
0.035000,1,3,7,-1.20824599,-0.31415927,-18.000001,-0.31415927,-18.000001,-10.47197580,-600.000017,-1.03157640,-0.58479977,-1.03157640,-0.58479977,-0.07225829,-4.140095,-0.09405924,-5.389198,-4.07602262,-233.538894,-4.36019039,-249.820507,-0.24190098,-13.859905,-0.22010003,-12.610803,0.04668026,2.674582,0.06035668,3.458183,2.57932687,147.784544,2.73528457,156.720261,2.674582,3.458183,0.03528901,0
0.040000,2,0,8,-2.42818093,-0.62831855,-36.000001,-0.62831855,-36.000001,-15.70796371,-900.000025,-0.23891473,-3.38050747,-0.23891473,-3.38050747,-0.09405924,-5.389198,-0.12520136,-7.173509,-4.36019039,-249.820507,-6.22842264,-356.862330,-0.53425930,-30.610803,-0.50311719,-28.826492,0.06035668,3.458183,0.07964079,4.563081,2.73528457,156.720261,3.85682058,220.979542,3.458183,4.563081,0.06432872,0
0.045000,2,1,9,-2.42818093,-0.62831855,-36.000001,-0.62831855,-36.000001,-15.70796371,-900.000025,-3.38050747,-2.22838163,-3.38050747,-2.22838163,-0.12520136,-7.173509,-0.16237637,-9.303481,-6.22842264,-356.862330,-7.43500423,-425.994363,-0.50311719,-28.826492,-0.46594217,-26.696520,0.07964079,4.563081,0.10243680,5.869196,3.85682058,220.979542,4.55920029,261.222934,4.563081,5.869196,0.06432872,0
0.050000,2,2,10,-2.42818093,-0.62831855,-36.000001,-0.62831855,-36.000001,-15.70796371,-900.000025,-2.22838163,-1.31366968,-2.22838163,-1.31366968,-0.16237637,-9.303481,-0.20296343,-11.628948,-7.43500423,-425.994363,-8.11740971,-465.093317,-0.46594217,-26.696520,-0.42535512,-24.371053,0.10243680,5.869196,0.12709375,7.281935,4.55920029,261.222934,4.93139076,282.547878,5.869196,7.281935,0.06432872,0
0.055000,2,3,11,-2.42818093,-0.62831855,-36.000001,-0.62831855,-36.000001,-15.70796371,-900.000025,-1.31366968,-0.60071707,-1.31366968,-0.60071707,-0.20296343,-11.628948,-0.24492513,-14.033176,-8.11740971,-465.093317,-8.39234066,-480.845700,-0.42535512,-24.371053,-0.38339342,-21.966825,0.12709375,7.281935,0.15233430,8.728113,4.93139076,282.547878,5.04811287,289.235562,7.281935,8.728113,0.06432872,0
0.060000,3,0,12,-3.35247946,-1.04719758,-60.000002,-1.04719758,-60.000002,-20.94395161,-1200.000033,-0.05738115,-4.24617147,-0.05738115,-4.24617147,-0.24492513,-14.033176,-0.29858816,-17.107841,-8.39234066,-480.845700,-10.73260689,-614.933078,-0.80227245,-45.966826,-0.74860942,-42.892160,0.15233430,8.728113,0.18444172,10.567732,5.04811287,289.235562,6.42148256,367.923849,8.728113,10.567732,0.08448393,0
