time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,joint_pos_target_vel_rad_s,joint_pos_target_vel_deg_s,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,reward,done
0.000000,0,0,0,-0.12062728,0.05503582,3.153320,0.06307216,3.613769,0.00000000,0.000000,-1.58952427,-0.33902857,-1.58952427,-0.33902857,0.10000000,5.729578,0.09693731,5.554099,0.00000000,0.000000,-0.19691846,-11.282597,-0.03692784,-2.115809,-0.03386515,-1.940330,0.05302887,0
0.020000,1,0,1,-0.33437854,-0.02464061,-1.411803,-0.01660427,-0.951355,-3.98382172,-228.256171,-0.33902857,-0.84462929,-0.33902857,-0.84462929,0.09693731,5.554099,0.08493344,4.866328,-0.19691846,-11.282597,-0.76027292,-43.560430,-0.11354158,-6.505453,-0.10153772,-5.817683,0.05341398,0
0.040000,2,0,2,-0.32053021,-0.01947860,-1.116042,-0.01144227,-0.655594,0.25810041,14.788064,-0.84462929,-0.61313301,-0.84462929,-0.61313301,0.08493344,4.866328,0.07063234,4.046935,-0.76027292,-43.560430,-0.68331587,-39.151116,-0.09637571,-5.521922,-0.08207460,-4.702528,0.04275816,0
0.060000,3,0,3,-0.28963345,-0.00796174,-0.456174,0.00007460,0.004274,0.57584308,32.993378,-0.61313301,-0.54888260,-0.61313301,-0.54888260,0.07063234,4.046935,0.06039258,3.460240,-0.68331587,-39.151116,-0.40505701,-23.208057,-0.07055774,-4.042661,-0.06031798,-3.455966,0.05882968,0
0.080000,4,0,4,-0.25959510,0.00323515,0.185360,0.01127148,0.645808,0.55984445,32.076724,-0.54888260,-0.46488243,-0.54888260,-0.46488243,0.06039258,3.460240,0.05496576,3.149306,-0.40505701,-23.208057,-0.22694305,-13.002879,-0.04912109,-2.814431,-0.04369428,-2.503498,0.07001412,0
0.100000,5,0,5,-0.19197911,0.02843921,1.629447,0.03647555,2.089895,1.26020312,72.204320,-0.46488243,-0.08312053,-0.46488243,-0.08312053,0.05496576,3.149306,0.05146455,2.948701,-0.22694305,-13.002879,-0.15330544,-8.783755,-0.01849022,-1.059411,-0.01498900,-0.858806,0.07058754,0
0.120000,6,0,6,-0.14929584,0.04434953,2.541041,0.05238586,3.001489,0.79551581,45.579699,-0.08312053,0.11426061,-0.08312053,0.11426061,0.05146455,2.948701,0.04963011,2.843596,-0.15330544,-8.783755,-0.06962708,-3.989338,0.00092132,0.052788,0.00275575,0.157893,0.07116932,0
0.140000,7,0,7,-0.10726131,0.06001802,3.438779,0.06805436,3.899228,0.78342501,44.886947,0.11426061,0.27732170,0.11426061,0.27732170,0.04963011,2.843596,0.04953934,2.838395,-0.06962708,-3.989338,0.01677901,0.961367,0.01842425,1.055632,0.01851502,1.060833,0.07168702,0
0.160000,8,0,8,-0.07302688,0.07277901,4.169930,0.08081535,4.630379,0.63804947,36.557542,0.27732170,0.38929915,0.27732170,0.38929915,0.04953934,2.838395,0.05092641,2.917869,0.01677901,0.961367,0.08478194,4.857647,0.03127601,1.791983,0.02988894,1.712510,0.07227933,0
0.180000,9,0,9,-0.05236305,0.08048151,4.611251,0.08851785,5.071699,0.38512498,22.066036,0.38929915,0.43047825,0.38929915,0.43047825,0.05092641,2.917869,0.05331384,3.054658,0.08478194,4.857647,0.12757701,7.309624,0.03759144,2.153831,0.03520401,2.017041,0.07314035,0
0.200000,10,0,10,-0.04662891,0.08261894,4.733716,0.09065527,5.194165,0.10687113,6.123265,0.43047825,0.40253818,0.43047825,0.40253818,0.05331384,3.054658,0.05616835,3.218209,0.12757701,7.309624,0.14392388,8.246231,0.03734143,2.139507,0.03448692,1.975955,0.07420043,0
0.220000,11,0,11,-0.05344156,0.08007950,4.588217,0.08811583,5.048665,-0.12697205,-7.274963,0.40253818,0.32251605,0.40253818,0.32251605,0.05616835,3.218209,0.05901806,3.381486,0.14392388,8.246231,0.13835068,7.926910,0.03194748,1.830456,0.02909778,1.667180,0.07519554,0
0.240000,12,0,12,-0.06840324,0.07450248,4.268678,0.08253882,4.729126,-0.27885064,-15.976965,0.32251605,0.21351665,0.32251605,0.21351665,0.05901806,3.381486,0.06153741,3.525834,0.13835068,7.926910,0.11888839,6.811803,0.02352076,1.347641,0.02100141,1.203292,0.07586071,0
0.260000,13,0,13,-0.08675756,0.06766085,3.876681,0.07569719,4.337130,-0.34208149,-19.599825,0.21351665,0.09769222,0.21351665,0.09769222,0.06153741,3.525834,0.06357083,3.642340,0.11888839,6.811803,0.09393933,5.382327,0.01415978,0.811296,0.01212636,0.694789,0.07610629,0
0.280000,14,0,14,-0.10459555,0.06101169,3.495713,0.06904803,3.956161,-0.33245794,-19.048437,0.09769222,-0.00825741,0.09769222,-0.00825741,0.06357083,3.642340,0.06510703,3.730358,0.09393933,5.382327,0.07006516,4.014438,0.00547720,0.313821,0.00394100,0.225803,0.07602870,0
0.300000,15,0,15,-0.11936387,0.05550676,3.180303,0.06354310,3.640751,-0.27524680,-15.770480,-0.00825741,-0.09450419,-0.00825741,-0.09450419,0.06510703,3.730358,0.06622916,3.794652,0.07006516,4.014438,0.05119810,2.933435,-0.00156394,-0.089607,-0.00268607,-0.153900,0.07579818,0
0.320000,16,0,16,-0.12996376,0.05155562,2.953919,0.05959196,3.414368,-0.19755699,-11.319182,-0.09450419,-0.15780574,-0.09450419,-0.15780574,0.06622916,3.794652,0.06706063,3.842291,0.05119810,2.933435,0.03862892,2.213274,-0.00663721,-0.380284,-0.00746867,-0.427923,0.07555110,0
0.340000,17,0,17,-0.13643152,0.04914474,2.815786,0.05718108,3.276234,-0.12054387,-6.906655,-0.15780574,-0.19967167,-0.15780574,-0.19967167,0.06706063,3.842291,0.06772214,3.880193,0.03862892,2.213274,0.03174046,1.818594,-0.00987955,-0.566056,-0.01054106,-0.603958,0.07535448,0
0.360000,18,0,18,-0.13953169,0.04798914,2.749575,0.05602548,3.210024,-0.05777981,-3.310539,-0.19967167,-0.22432606,-0.19967167,-0.22432606,0.06772214,3.880193,0.06830458,3.913564,0.03174046,1.818594,0.02880351,1.650320,-0.01169666,-0.670169,-0.01227909,-0.703540,0.07522292,0
0.380000,19,0,19,-0.14034578,0.04768569,2.732189,0.05572202,3.192637,-0.01517292,-0.869344,-0.22432606,-0.23680571,-0.22432606,-0.23680571,0.06830458,3.913564,0.06885719,3.945226,0.02880351,1.650320,0.02768891,1.586458,-0.01258255,-0.720927,-0.01313516,-0.752589,0.07514850,0
0.400000,20,0,20,-0.13990976,0.04784822,2.741501,0.05588455,3.201949,0.00812653,0.465616,-0.23680571,-0.24097842,-0.23680571,-0.24097842,0.06885719,3.945226,0.06938671,3.975566,0.02768891,1.586458,0.02604784,1.492431,-0.01297263,-0.743277,-0.01350216,-0.773617,0.07511966,0
0.420000,21,0,21,-0.13966450,0.04793964,2.746739,0.05597597,3.207187,0.00457093,0.261895,-0.24097842,-0.23662864,-0.24097842,-0.23662864,0.06938671,3.975566,0.06978901,3.998616,0.02604784,1.492431,0.01686582,0.966340,-0.01341074,-0.768379,-0.01381304,-0.791429,0.07508155,0
0.440000,22,0,22,-0.14349771,0.04651080,2.664872,0.05454713,3.125321,-0.07144194,-4.093322,-0.23662864,-0.23783526,-0.23662864,-0.23783526,0.06978901,3.998616,0.06982290,4.000557,0.01686582,0.966340,-0.00491809,-0.281786,-0.01524188,-0.873295,-0.01527577,-0.875237,0.07506738,0
0.460000,23,0,23,-0.15181223,0.04341153,2.487298,0.05144787,2.947746,-0.15496314,-8.878734,-0.23783526,-0.24749914,-0.23783526,-0.24749914,0.06982290,4.000557,0.06928406,3.969684,-0.00491809,-0.281786,-0.03558700,-2.038985,-0.01837503,-1.052812,-0.01783619,-1.021938,0.07506777,0
0.480000,24,0,24,-0.16223341,0.03952701,2.264731,0.04756334,2.725179,-0.19422639,-11.128353,-0.24749914,-0.25548950,-0.24749914,-0.25548950,0.06928406,3.969684,0.06807033,3.900143,-0.03558700,-2.038985,-0.06964371,-3.990291,-0.02172071,-1.244505,-0.02050699,-1.174964,0.07501469,0
0.500000,25,0,25,-0.17160338,0.03603432,2.064615,0.04407066,2.525063,-0.17463416,-10.005800,-0.25548950,-0.25198227,-0.25548950,-0.25198227,0.06807033,3.900143,0.06649590,3.809934,-0.06964371,-3.990291,-0.10324141,-5.915297,-0.02399967,-1.375080,-0.02242523,-1.284871,0.07012479,0
0.520000,26,0,26,-0.18762454,0.03006238,1.722448,0.03809872,2.182896,-0.29859692,-17.108343,-0.25198227,-0.26023567,-0.25198227,-0.26023567,0.06649590,3.809934,0.06374889,3.652542,-0.10324141,-5.915297,-0.14574239,-8.350424,-0.02839717,-1.627038,-0.02565017,-1.469646,0.07441618,0
0.540000,27,0,27,-0.17549165,0.03458496,1.981572,0.04262130,2.442021,0.22612885,12.956229,-0.26023567,-0.18834195,-0.26023567,-0.18834195,0.06374889,3.652542,0.06153416,3.525648,-0.14574239,-8.350424,-0.11095964,-6.357519,-0.02112759,-1.210522,-0.01891286,-1.083627,0.07017531,0
0.560000,28,0,28,-0.17925824,0.03318095,1.901129,0.04121729,2.361577,-0.07020049,-4.022192,-0.18834195,-0.14759623,-0.18834195,-0.14759623,0.06153416,3.525648,0.05890381,3.374940,-0.11095964,-6.357519,-0.13196191,-7.560861,-0.02031687,-1.164071,-0.01768652,-1.013363,0.07478420,0
0.580000,29,0,29,-0.15868439,0.04084992,2.340528,0.04888625,2.800976,0.38344823,21.969965,-0.14759623,-0.09382393,-0.14759623,-0.09382393,0.05890381,3.374940,0.05727265,3.281481,-0.13196191,-7.560861,-0.03901473,-2.235379,-0.01001756,-0.573964,-0.00838640,-0.480505,0.07526062,0
0.600000,30,0,30,-0.10279438,0.06168308,3.534180,0.06971942,3.994628,1.04165822,59.682620,-0.09382393,0.18006536,-0.09382393,0.18006536,0.05727265,3.281481,0.05726117,3.280824,-0.03901473,-2.235379,0.01774987,1.016993,0.01244676,0.713147,0.01245825,0.713805,0.07267066,0
0.620000,31,0,31,-0.13074088,0.05126594,2.937322,0.05930228,3.397770,-0.52085686,-29.842900,0.18006536,0.03177268,0.18006536,0.03177268,0.05726117,3.280824,0.05735920,3.286440,0.01774987,1.016993,-0.00087649,-0.050219,0.00204111,0.116947,0.00194308,0.111330,0.07532666,0
0.640000,32,0,32,-0.10909784,0.05933345,3.399556,0.06736979,3.860005,0.40337536,23.111706,0.03177268,0.10549528,0.03177268,0.10549528,0.05735920,3.286440,0.05798985,3.322574,-0.00087649,-0.050219,0.04308735,2.468723,0.01001059,0.573564,0.00937993,0.537431,0.07506745,0
0.660000,33,0,33,-0.10083169,0.06241468,3.576098,0.07045102,4.036546,0.15406162,8.827080,0.10549528,0.11809896,0.10549528,0.11809896,0.05798985,3.322574,0.05913121,3.387969,0.04308735,2.468723,0.06110372,3.500985,0.01246117,0.713972,0.01131981,0.648577,0.07504035,0
0.680000,34,0,34,-0.10342635,0.06144752,3.520683,0.06948385,3.981132,-0.04835837,-2.770730,0.11809896,0.08898757,0.11809896,0.08898757,0.05913121,3.387969,0.06030447,3.455191,0.06110372,3.500985,0.05625038,3.222909,0.01035265,0.593163,0.00917939,0.525940,0.07523859,0
0.700000,35,0,35,-0.11052406,0.05880183,3.369096,0.06683816,3.829544,-0.13228469,-7.579354,0.08898757,0.05511102,0.08898757,0.05511102,0.06030447,3.455191,0.06113986,3.503056,0.05625038,3.222909,0.03504698,2.008044,0.00653369,0.374353,0.00569830,0.326489,0.07550236,0
0.720000,36,0,36,-0.12060742,0.05504322,3.153744,0.06307956,3.614192,-0.18793009,-10.767601,0.05511102,0.01874849,0.05511102,0.01874849,0.06113986,3.503056,0.06144118,3.520320,0.03504698,2.008044,0.00720808,0.412992,0.00193970,0.111137,0.00163838,0.093872,0.07571468,0
0.740000,37,0,37,-0.13034233,0.05141450,2.945834,0.05945084,3.406282,-0.18143598,-10.395516,0.01874849,-0.00942928,0.01874849,-0.00942928,0.06144118,3.520320,0.06120853,3.506991,0.00720808,0.412992,-0.01829161,-1.048032,-0.00199034,-0.114038,-0.00175769,-0.100708,0.07582141,0
0.760000,38,0,38,-0.13709471,0.04889753,2.801622,0.05693387,3.262071,-0.12584832,-7.210577,-0.00942928,-0.01974233,-0.00942928,-0.01974233,0.06120853,3.506991,0.06055315,3.469440,-0.01829161,-1.048032,-0.03734172,-2.139523,-0.00427466,-0.244920,-0.00361928,-0.207369,0.07585068,0
0.780000,39,0,39,-0.13995948,0.04782968,2.740439,0.05586602,3.200887,-0.05339272,-3.059178,-0.01974233,-0.01096693,-0.01974233,-0.01096693,0.06055315,3.469440,0.05963233,3.416681,-0.03734172,-2.139523,-0.04832337,-2.768725,-0.00468713,-0.268553,-0.00376631,-0.215794,0.07584206,0
