time_s,profile_name,target_rad,target_deg,target_vel_rad_s,target_vel_deg_s,cylinder_q_rad,cylinder_q_deg,cylinder_qd_rad_s,cylinder_qd_deg_s,tracking_error_rad,tracking_error_deg,pole_q_rad,pole_q_deg,pole_lift_deg,pole_qd_rad_s,pole_qd_deg_s,actuator_force_nm,qfrc_actuator_nm
0.000000,sine_30deg_2hz,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000029,0.000000,-0.0000000000,-0.000000,-0.0000000003,-0.000000,0.000000,-0.0000001498,-0.000009,0.0000000000,0.0000000000
0.002000,sine_30deg_2hz,0.0131580872,0.753903,6.5790436024,376.951432,0.0004360729,0.024985,0.2180364223,12.492567,0.0127220144,0.728918,-0.0003012125,-0.017258,0.017258,-0.1506061017,-8.629094,0.1315808691,0.1315808691
0.004000,sine_30deg_2hz,0.0263078635,1.507330,6.5748881374,376.713341,0.0009234946,0.052912,0.2437108911,13.963605,0.0253843688,1.454417,-0.0006376489,-0.036535,0.036535,-0.1682182059,-9.638193,0.0406814840,0.0406814840
0.006000,sine_30deg_2hz,0.0394410231,2.259804,6.5665798322,376.237310,0.0017866922,0.102370,0.4315988013,24.728790,0.0376543309,2.157434,-0.0012332261,-0.070659,0.070659,-0.2977885924,-17.062030,0.1414643940,0.1414643940
0.008000,sine_30deg_2hz,0.0525492710,3.010851,6.5541239344,375.523640,0.0027368886,0.156812,0.4750981886,27.221121,0.0498123824,2.854039,-0.0018880994,-0.108180,0.108180,-0.3274366631,-18.760739,0.0760269865,0.0760269865
0.010000,sine_30deg_2hz,0.0656243276,3.759997,6.5375283115,374.572781,0.0040153063,0.230060,0.6392088247,36.623968,0.0616090214,3.529937,-0.0027685488,-0.158626,0.158626,-0.4402246907,-25.223017,0.1537762016,0.1537762016
0.012000,sine_30deg_2hz,0.0786579345,4.506768,6.5168034456,373.385333,0.0054048493,0.309675,0.6947715232,39.807476,0.0732530852,4.197093,-0.0037241148,-0.213376,0.213376,-0.4777829994,-27.374949,0.1072174579,0.1072174579
0.014000,sine_30deg_2hz,0.0916418594,5.250692,6.4919624269,371.962048,0.0070845257,0.405913,0.8398381793,48.119183,0.0845573337,4.844778,-0.0048779512,-0.279486,0.279486,-0.5769181994,-33.054978,0.1675985775,0.1675985775
0.016000,sine_30deg_2hz,0.1045679013,5.991299,6.4630209456,370.303823,0.0088907870,0.509405,0.9031306626,51.745575,0.0956771143,5.481895,-0.0061164636,-0.350448,0.350448,-0.6192561989,-35.480767,0.1349955767,0.1349955767
0.018000,sine_30deg_2hz,0.1174278958,6.728123,6.4299972817,368.411707,0.0109561161,0.627739,1.0326645383,59.167320,0.1064717798,6.100384,-0.0075305288,-0.431468,0.431468,-0.7070325899,-40.509983,0.1822404258,0.1822404258
0.020000,sine_30deg_2hz,0.1302137204,7.460697,6.3929122938,366.286893,0.0131569617,0.753838,1.1004227926,63.049582,0.1170567588,6.706858,-0.0090340645,-0.517614,0.517614,-0.7517678521,-43.073125,0.1599115052,0.1599115052
0.022000,sine_30deg_2hz,0.1429172992,8.188558,6.3517894054,363.930725,0.0155910095,0.893299,1.2170239293,69.730335,0.1273262897,7.295259,-0.0106937833,-0.612709,0.612709,-0.8298594207,-47.547442,0.1971805832,0.1971805832
0.024000,sine_30deg_2hz,0.1555306084,8.911247,6.3066545907,361.344691,0.0181645806,1.040754,1.2867855397,73.727381,0.1373660278,7.870494,-0.0124441294,-0.712996,0.712996,-0.8751730572,-50.143723,0.1823720598,0.1823720598
0.026000,sine_30deg_2hz,0.1680456811,9.628308,6.2575363578,358.530423,0.0209493313,1.200308,1.3923753317,79.777230,0.1470963499,8.428000,-0.0143337192,-0.821262,0.821262,-0.9447948702,-54.132759,0.2120254657,0.2120254657
0.028000,sine_30deg_2hz,0.1804546126,10.339288,6.2044657308,355.489701,0.0238738899,1.367873,1.4622793267,83.782434,0.1565807227,8.971415,-0.0163123064,-0.934626,0.934626,-0.9892936216,-56.682349,0.2026774817,0.2026774817
0.030000,sine_30deg_2hz,0.1927495651,11.043737,6.1474762303,352.224443,0.0269904387,1.546438,1.5582743984,89.282546,0.1657591263,9.497298,-0.0184149510,-1.055099,1.055099,-1.0513222628,-60.236329,0.2264774248,0.2264774248
0.032000,sine_30deg_2hz,0.2049227728,11.741210,6.0866038520,348.736712,0.0302442621,1.732869,1.6269117221,93.215175,0.1746785106,10.008341,-0.0206028218,-1.180455,1.180455,-1.0939354290,-62.677883,0.2210489422,0.2210489422
0.034000,sine_30deg_2hz,0.2169665468,12.431267,6.0218870443,345.028712,0.0336729701,1.929319,1.7143539814,98.225248,0.1832935767,10.501948,-0.0229008198,-1.312120,1.312120,-1.1489990128,-65.832794,0.2403111249,0.2403111249
0.036000,sine_30deg_2hz,0.2288732802,13.113473,5.9533666836,341.102785,0.0372342819,2.133367,1.7806558946,102.024068,0.1916389983,10.980106,-0.0252786228,-1.448358,1.448358,-1.1889014590,-68.119036,0.2376491196,0.2376491196
0.038000,sine_30deg_2hz,0.2406354523,13.787396,5.8810860490,336.961410,0.0409549014,2.346543,1.8603097379,106.587897,0.1996805509,11.440853,-0.0277535164,-1.590159,1.590159,-1.2374468234,-70.900480,0.2533558095,0.2533558095
0.040000,sine_30deg_2hz,0.2522456339,14.452610,5.8050907943,332.607202,0.0448018301,2.566956,1.9234643818,110.206391,0.2074438038,11.885654,-0.0303015191,-1.736149,1.736149,-1.2740013301,-72.994899,0.2525975873,0.2525975873
0.042000,sine_30deg_2hz,0.2636964917,15.108696,5.7254289199,328.042913,0.0487936091,2.795668,1.9958895007,114.356045,0.2149028826,12.313028,-0.0329342076,-1.886991,1.886991,-1.3163442665,-75.420971,0.2654822341,0.2654822341
0.044000,sine_30deg_2hz,0.2749807932,15.755239,5.6421507418,323.271425,0.0529041685,3.031186,2.0552796872,117.758852,0.2220766247,12.724053,-0.0356323245,-2.041582,2.041582,-1.3490584444,-77.295355,0.2659823401,0.2659823401
0.046000,sine_30deg_2hz,0.2860914109,16.391830,5.5553088604,318.295752,0.0571459394,3.274221,2.1208854660,121.517786,0.2289454715,13.117609,-0.0384031667,-2.200339,2.200339,-1.3854211224,-79.378783,0.2765927370,0.2765927370
0.048000,sine_30deg_2hz,0.2970213272,17.018068,5.4649581269,313.119036,0.0614980239,3.523577,2.1760422158,124.678035,0.2355233033,13.494491,-0.0412309970,-2.362362,2.362362,-1.4139151262,-81.011369,0.2778684115,0.2778684115
0.050000,sine_30deg_2hz,0.3077636384,17.633558,5.3711556087,307.744547,0.0659682806,3.779704,2.2351283616,128.063422,0.2417953578,13.853854,-0.0441199049,-2.527884,2.527884,-1.4444539380,-82.761114,0.2866139296,0.2866139296
0.052000,sine_30deg_2hz,0.3183115595,18.237909,5.2739605535,302.175681,0.0705396733,4.041626,2.2856963388,130.960753,0.2477718862,14.196283,-0.0470567775,-2.696155,2.696155,-1.4684363374,-84.135205,0.2883044276,0.2883044276
0.054000,sine_30deg_2hz,0.3286584282,18.830741,5.1734343517,296.415954,0.0752166406,4.309596,2.3384836615,133.985244,0.2534417876,14.521145,-0.0500433033,-2.867270,2.867270,-1.4932628867,-85.557661,0.2954912106,0.2954912106
