time_s,profile_name,target_rad,target_deg,target_vel_rad_s,target_vel_deg_s,cylinder_q_rad,cylinder_q_deg,cylinder_qd_rad_s,cylinder_qd_deg_s,tracking_error_rad,tracking_error_deg,pole_q_rad,pole_q_deg,pole_lift_deg,pole_qd_rad_s,pole_qd_deg_s,actuator_force_nm,qfrc_actuator_nm
0.000000,sine_45deg_1.5hz,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000029,0.000000,-0.0000000000,-0.000000,-0.0000000003,-0.000000,0.000000,-0.0000001498,-0.000009,0.0000000000,0.0000000000
0.002000,sine_45deg_1.5hz,0.0148035299,0.848180,7.4017649677,424.089894,0.0002451686,0.014047,0.1225842754,7.023562,0.0145583614,0.834133,-0.0001693479,-0.009703,0.009703,-0.0846737800,-4.851450,0.0740176468,0.0740176468
0.004000,sine_45deg_1.5hz,0.0296018002,1.696058,7.3991351558,423.939216,0.0005234735,0.029993,0.1391524493,7.972848,0.0290783268,1.666065,-0.0003614466,-0.020709,0.020709,-0.0960493810,-5.503224,0.0241988830,0.0241988830
0.006000,sine_45deg_1.5hz,0.0443895532,2.543334,7.3938764665,423.637916,0.0010142338,0.058111,0.2453801803,14.059249,0.0433753194,2.485223,-0.0007000570,-0.040110,0.040110,-0.1693051702,-9.700472,0.0801779494,0.0801779494
0.008000,sine_45deg_1.5hz,0.0591615347,3.389706,7.3859907681,423.186099,0.0015613955,0.089461,0.2735808178,15.675026,0.0576001393,3.300245,-0.0010771729,-0.061717,0.061717,-0.1885579630,-10.803575,0.0453563242,0.0453563242
0.010000,sine_45deg_1.5hz,0.0739124964,4.234874,7.3754808623,422.583925,0.0022961843,0.131562,0.3673944334,21.050150,0.0716163121,4.103312,-0.0015832389,-0.090713,0.090713,-0.2530330025,-14.497723,0.0881746871,0.0881746871
0.012000,sine_45deg_1.5hz,0.0886371974,5.078537,7.3623504833,421.831610,0.0031036220,0.177824,0.4037188238,23.131385,0.0855335754,4.900713,-0.0021385450,-0.122530,0.122530,-0.2776530364,-15.908347,0.0643106321,0.0643106321
0.014000,sine_45deg_1.5hz,0.1033304060,5.920396,7.3466042962,420.929420,0.0040796122,0.233745,0.4879951026,27.960060,0.0992507938,5.686652,-0.0028090462,-0.160946,0.160946,-0.3352506319,-19.208446,0.0974150964,0.0974150964
0.016000,sine_45deg_1.5hz,0.1179869018,6.760152,7.3282478956,419.877676,0.0051393131,0.294461,0.5298504605,30.358195,0.1128475887,6.465691,-0.0035357732,-0.202585,0.202585,-0.3633634959,-20.819195,0.0815413455,0.0815413455
0.018000,sine_45deg_1.5hz,0.1326014774,7.597505,7.3072878034,418.676751,0.0063526819,0.363982,0.6066844030,34.760456,0.1262487955,7.233523,-0.0043666725,-0.250192,0.250192,-0.4154496601,-23.803512,0.1074603610,0.1074603610
0.020000,sine_45deg_1.5hz,0.1471689403,8.432159,7.2837314666,417.327072,0.0076569836,0.438713,0.6521508442,37.365491,0.1395119567,7.993446,-0.0052579703,-0.301260,0.301260,-0.4456489012,-25.533801,0.0973968891,0.0973968891
0.022000,sine_45deg_1.5hz,0.1616841148,9.263817,7.2575872547,415.829119,0.0091031118,0.521570,0.7230640897,41.428521,0.1525810031,8.742248,-0.0062443637,-0.357776,0.357776,-0.4931966850,-28.258089,0.1179848121,0.1179848121
0.024000,sine_45deg_1.5hz,0.1761418438,10.092184,7.2288644567,414.183424,0.0106445443,0.609887,0.7707162495,44.158788,0.1654972995,9.482297,-0.0072932054,-0.417870,0.417870,-0.5244208664,-30.047102,0.1121295703,0.1121295703
0.026000,sine_45deg_1.5hz,0.1905369903,10.916965,7.1975732775,412.390572,0.0123181645,0.705779,0.8368101026,47.945687,0.1782188258,10.211187,-0.0084294382,-0.482971,0.482971,-0.5681163884,-32.550671,0.1287459807,0.1287459807
0.028000,sine_45deg_1.5hz,0.2048644400,11.737868,7.1637248348,410.451199,0.0140893369,0.807260,0.8855862095,50.740352,0.1907751031,10.930608,-0.0096285560,-0.551676,0.551676,-0.5995589116,-34.352195,0.1259212749,0.1259212749
0.030000,sine_45deg_1.5hz,0.2191191023,12.554600,7.1273311548,408.365994,0.0159846449,0.915853,0.9476540018,54.296575,0.2031344574,11.638747,-0.0109083146,-0.625000,0.625000,-0.6398792618,-36.662381,0.1395626175,0.1395626175
0.032000,sine_45deg_1.5hz,0.2332959126,13.366871,7.0884051679,406.135700,0.0179781645,1.030073,0.9967597877,57.110129,0.2153177482,12.336798,-0.0122501590,-0.701882,0.701882,-0.6709222320,-38.441012,0.1389023369,0.1389023369
0.034000,sine_45deg_1.5hz,0.2473898340,14.174393,7.0469607045,403.761107,0.0200889032,1.151009,1.0553693839,60.468212,0.2273009308,13.023384,-0.0136665445,-0.783035,0.783035,-0.7081927180,-40.576454,0.1502985601,0.1502985601
0.036000,sine_45deg_1.5hz,0.2613958590,14.976880,7.0030124894,401.243060,0.0222973184,1.277542,1.1042075694,63.266433,0.2390985406,13.699337,-0.0151432614,-0.867645,0.867645,-0.7383584524,-42.304823,0.1511653950,0.1511653950
0.038000,sine_45deg_1.5hz,0.2753090113,15.774044,6.9565761374,398.582453,0.0246168423,1.410441,1.1597619567,66.449465,0.2506921690,14.363603,-0.0166888507,-0.956201,0.956201,-0.7727946738,-44.277873,0.1608508951,0.1608508951
0.040000,sine_45deg_1.5hz,0.2891243476,16.565605,6.9076681470,395.780231,0.0270326033,1.548854,1.2078805097,69.206455,0.2620917443,15.016751,-0.0182922710,-1.048070,1.048070,-0.8017101518,-45.934608,0.1627755697,0.1627755697
0.042000,sine_45deg_1.5hz,0.3028369594,17.351280,6.8563058950,392.837391,0.0295539279,1.693315,1.2606622769,72.230628,0.2732830315,15.657964,-0.0199591689,-1.143576,1.143576,-0.8334489160,-47.753105,0.1711412706,0.1711412706
0.044000,sine_45deg_1.5hz,0.3164419746,18.130790,6.8025076302,389.754977,0.0321693608,1.843169,1.3077164676,74.926634,0.2842726138,16.287621,-0.0216808083,-1.242219,1.242219,-0.8608197345,-49.321338,0.1737779570,0.1737779570
0.046000,sine_45deg_1.5hz,0.3299345596,18.903858,6.7462924668,386.534086,0.0348852019,1.998775,1.3579205485,77.803116,0.2950493577,16.905083,-0.0234606920,-1.344199,1.344199,-0.8899418356,-50.989911,0.1811095262,0.1811095262
0.048000,sine_45deg_1.5hz,0.3433099203,19.670209,6.6876803778,383.175860,0.0376924920,2.159621,1.4036450526,80.422937,0.3056174283,17.510589,-0.0252917582,-1.449111,1.449111,-0.9155330778,-52.456181,0.1842030436,0.1842030436
0.050000,sine_45deg_1.5hz,0.3565633047,20.429572,6.6266921878,379.681494,0.0405952973,2.325939,1.4514026719,83.159247,0.3159680074,18.103633,-0.0271759181,-1.557065,1.557065,-0.9420799710,-53.977206,0.1907090109,0.1907090109
0.052000,sine_45deg_1.5hz,0.3696900038,21.181677,6.5633495656,376.052230,0.0435864798,2.497321,1.4955912060,85.691064,0.3261035241,18.684356,-0.0291073226,-1.667727,1.667727,-0.9657022532,-55.330663,0.1940708605,0.1940708605
0.054000,sine_45deg_1.5hz,0.3826853539,21.926256,6.4976750166,372.289355,0.0466684549,2.673905,1.5409875480,88.292083,0.3360168990,19.252350,-0.0310866993,-1.781137,1.781137,-0.9896883655,-56.704966,0.1999031645,0.1999031645
0.056000,sine_45deg_1.5hz,0.3955447376,22.663044,6.4296918746,368.394208,0.0498354106,2.855359,1.5834778755,90.726599,0.3457093270,19.807685,-0.0331090745,-1.897010,1.897010,-1.0111875679,-57.936780,0.2033938658,0.2033938658
0.058000,sine_45deg_1.5hz,0.4082635862,23.391780,6.3594242937,364.368172,0.0530885407,3.041749,1.6265650556,93.195313,0.3551750455,20.350031,-0.0351742931,-2.015339,2.015339,-1.0326093398,-59.164157,0.2086630025,0.2086630025
0.060000,sine_45deg_1.5hz,0.4208373807,24.112206,6.2868972396,360.212678,0.0564229967,3.232800,1.6672280097,95.525128,0.3644143839,20.879406,-0.0372780113,-2.135873,2.135873,-1.0518590889,-60.267086,0.2121791442,0.2121791442
0.062000,sine_45deg_1.5hz,0.4332616536,24.824064,6.2121364809,355.929202,0.0598390659,3.428526,1.7080346002,97.863174,0.3734225877,21.395538,-0.0394194145,-2.258566,2.258566,-1.0707016105,-61.346683,0.2169652749,0.2169652749
0.064000,sine_45deg_1.5hz,0.4455319908,25.527103,6.1351685796,351.519266,0.0633325980,3.628691,1.7467660518,100.082323,0.3821993928,21.898412,-0.0415946101,-2.383196,2.383196,-1.0875977731,-62.314762,0.2204300241,0.2204300241
0.066000,sine_45deg_1.5hz,0.4576440326,26.221072,6.0560208822,346.984437,0.0669032061,3.833271,1.7853040109,102.290385,0.3907408265,22.387800,-0.0438022893,-2.509686,2.509686,-1.1038396057,-63.245351,0.2247911208,0.2247911208
0.068000,sine_45deg_1.5hz,0.4695934756,26.905724,5.9747215093,342.326326,0.0705472442,4.042059,1.8220190555,104.394002,0.3990462314,22.863665,-0.0460388819,-2.637834,2.637834,-1.1182962948,-64.073658,0.2281473367,0.2281473367
0.070000,sine_45deg_1.5hz,0.4813760743,27.580817,5.8912993464,337.546588,0.0742638226,4.255004,1.8582892061,106.472129,0.4071122517,23.325814,-0.0483027084,-2.767541,2.767541,-1.1319132697,-64.853853,0.2321250950,0.2321250950
0.072000,sine_45deg_1.5hz,0.4929876423,28.246111,5.8057840329,332.646922,0.0780496577,4.471916,1.8929175811,108.456188,0.4149379846,23.774195,-0.0505904278,-2.898618,2.898618,-1.1438596824,-65.538332,0.2353298927,0.2353298927
0.074000,sine_45deg_1.5hz,0.5044240542,28.901369,5.7182059519,327.629067,0.0819034839,4.692724,1.9269130618,110.403986,0.4225205704,24.208645,-0.0529000824,-3.030951,3.030951,-1.1548272810,-66.166729,0.2389544014,0.2389544014
0.076000,sine_45deg_1.5hz,0.5156812467,29.546359,5.6285962196,322.494808,0.0858222765,4.917254,1.9593962996,112.265138,0.4298589702,24.629105,-0.0552284938,-3.164360,3.164360,-1.1642057171,-66.704074,0.2419757523,0.2419757523
0.078000,sine_45deg_1.5hz,0.5267552200,30.180851,5.5369866739,317.245968,0.0898044875,5.145418,1.9911055010,114.081942,0.4369507326,25.035433,-0.0575734960,-3.298718,3.298718,-1.1725010796,-67.179363,0.2452684182,0.2452684182
0.080000,sine_45deg_1.5hz,0.5376420398,30.804620,5.4434098632,311.884411,0.0938472765,5.377053,2.0213945111,115.817374,0.4437947633,25.427567,-0.0599320264,-3.433852,3.433852,-1.1792652433,-67.566921,0.2480822604,0.2480822604
0.082000,sine_45deg_1.5hz,0.5483378378,31.417444,5.3478990348,306.412044,0.0979488828,5.612058,2.0508031445,117.502365,0.4503889550,25.805386,-0.0623017636,-3.569628,3.569628,-1.1848685632,-67.887968,0.2510582956,0.2510582956
0.084000,sine_45deg_1.5hz,0.5588388141,32.019105,5.2504881234,300.830810,0.1021065958,5.850277,2.0788565321,119.109706,0.4567322182,26.168828,-0.0646797283,-3.705875,3.705875,-1.1889823604,-68.123671,0.2536465120,0.2536465120
0.086000,sine_45deg_1.5hz,0.5691412375,32.609391,5.1512117386,295.142692,0.1063184942,6.091601,2.1059491571,120.661999,0.4628227434,26.517790,-0.0670634841,-3.842455,3.842455,-1.1918778943,-68.289573,0.2563166764,0.2563166764
0.088000,sine_45deg_1.5hz,0.5792414479,33.188090,5.0501051528,289.349711,0.1105819582,6.335879,2.1317319979,122.139247,0.4686594897,26.852211,-0.0694501131,-3.979198,3.979198,-1.1933145340,-68.371886,0.2586656114,0.2586656114
