time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s
0.0000,0.000,2.165,-2.099,-0.0044,359.300,0.000
0.0051,0.000,2.143,-4.897,-0.0308,359.300,0.000
0.0101,0.000,2.121,-0.700,-0.0425,359.300,0.000
0.0152,0.000,2.099,-2.099,-0.0425,359.300,0.000
0.0202,0.000,2.099,-6.296,-0.0571,359.650,31.482
0.0253,0.000,717.395,2510.800,0.1509,359.650,0.000
0.0304,0.000,717.395,2510.800,0.1509,359.650,0.000
0.0355,0.000,717.395,2510.800,0.1509,359.650,0.000
0.0405,0.000,717.395,2510.800,0.1509,359.650,0.000
0.0456,0.000,717.395,2510.800,0.1509,359.650,0.000
0.0506,0.000,2.077,3.498,-0.0718,359.650,0.000
0.0557,0.000,2.077,2.099,-0.0630,359.650,0.000
0.0607,0.000,717.395,2510.800,0.1509,359.650,0.000
0.0658,0.000,717.395,2510.800,0.1509,359.650,0.000
0.0708,0.000,717.395,2510.800,0.1509,359.650,0.000
0.0759,0.000,717.395,2510.800,0.1509,359.650,0.000
0.0810,0.000,2.077,2.099,-0.0747,359.650,0.000
0.0860,0.000,717.395,2510.800,0.1509,359.650,0.000
0.0911,0.000,2.077,-3.498,-0.0630,359.650,0.000
0.0961,0.000,2.077,-10.494,-0.0806,359.650,0.000
0.1012,0.000,717.395,2510.800,0.1509,359.650,0.000
0.1063,0.000,2.077,-4.897,-0.0835,359.650,0.000
0.1113,0.000,2.077,-4.897,-0.0777,359.650,0.000
0.1164,0.000,2.077,3.498,-0.0689,359.650,0.000
0.1214,0.000,2.077,4.897,-0.0747,359.650,0.000
0.1265,0.000,2.055,-3.498,-0.0747,359.650,0.000
0.1315,0.000,2.077,0.700,-0.0806,359.650,0.000
0.1366,0.000,2.055,-9.095,-0.0630,359.650,0.000
0.1416,0.000,2.077,2.099,-0.0835,359.300,-31.819
0.1467,0.000,2.077,-3.498,-0.0659,359.300,0.000
0.1518,0.000,2.077,3.498,-0.0718,359.300,0.000
