time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s
0.0001,0.000,2.165,-0.700,0.0015,359.300,0.000
0.0051,0.000,2.165,0.700,-0.0308,359.300,0.000
0.0102,0.000,2.121,-9.095,-0.0484,359.300,0.000
0.0153,0.000,2.121,-9.095,-0.0542,359.300,0.000
0.0203,0.000,2.099,0.700,-0.0513,359.300,0.000
0.0254,0.000,2.099,-4.897,-0.0747,359.300,0.000
0.0304,0.000,2.099,-11.893,-0.0747,359.300,0.000
0.0355,0.000,2.099,-9.095,-0.0747,359.300,0.000
0.0405,0.000,2.099,0.700,-0.0718,359.300,0.000
0.0456,0.000,2.099,-9.095,-0.0777,359.300,0.000
0.0506,0.000,2.099,3.498,-0.0806,359.300,0.000
0.0557,0.000,2.099,4.897,-0.0777,359.300,0.000
0.0608,0.000,2.077,-3.498,-0.0718,359.300,0.000
0.0658,0.000,2.099,2.099,-0.0835,359.300,0.000
0.0709,0.000,2.099,2.099,-0.0747,359.300,0.000
0.0759,0.000,2.099,6.296,-0.0747,359.300,0.000
0.0810,0.000,2.077,-11.893,-0.0806,359.300,0.000
0.0861,0.000,2.077,-6.296,-0.0806,359.300,0.000
0.0912,0.000,2.099,11.893,-0.0689,359.300,0.000
0.0962,0.000,2.099,0.700,-0.0659,359.300,0.000
0.1013,0.000,2.099,6.296,-0.0864,359.300,0.000
0.1063,0.000,2.077,-10.494,-0.0659,359.300,0.000
0.1114,0.000,2.077,-3.498,-0.0689,359.300,0.000
0.1164,0.000,2.099,3.498,-0.0718,359.300,0.000
0.1215,0.000,2.077,-6.296,-0.0689,359.300,0.000
0.1266,0.000,2.077,3.498,-0.0659,359.300,0.000
0.1316,0.000,2.099,4.897,-0.0747,359.300,0.000
0.1367,0.000,2.077,-6.296,-0.0689,359.300,0.000
0.1417,0.000,2.099,9.095,-0.0806,359.300,0.000
0.1468,0.000,2.099,-4.897,-0.0747,359.650,31.804
0.1518,0.000,2.077,-6.296,-0.0659,359.650,0.000
0.1569,0.000,2.077,-6.296,-0.0806,359.300,-31.699
0.1620,0.000,2.099,-7.695,-0.0777,359.300,0.000
