time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s
0.0000,0.009,-2.627,3.232,-0.0291,359.650,0.000
0.0201,8.466,-2.605,-1.385,0.1536,359.650,0.000
0.0401,16.620,-2.099,30.012,0.2366,359.650,0.000
0.0602,24.182,-0.824,56.792,0.0457,358.950,-31.919
0.0803,30.883,1.066,74.338,0.2449,357.540,-64.052
0.1003,36.484,3.352,89.113,0.2200,356.840,-63.625
0.1204,40.785,6.011,102.041,0.0623,355.780,-47.860
0.1404,43.632,8.935,108.505,0.0623,354.020,-80.347
0.1605,44.924,11.946,108.505,0.0955,352.970,-47.673
0.1806,44.615,14.935,102.965,0.1370,351.910,-48.153
0.2006,42.716,17.748,101.118,0.1951,351.910,0.000
0.2207,39.296,20.210,86.342,0.1204,351.560,-16.001
0.2407,34.474,22.188,59.562,-0.0374,352.620,48.145
0.2608,28.425,23.463,34.629,0.1453,354.380,79.796
0.2808,21.365,23.968,6.926,0.2283,356.840,111.845
0.3009,13.542,23.815,-6.002,-0.0125,0.000,143.215
0.3210,5.237,23.155,-31.859,-0.1453,2.110,193.056
0.3410,-3.254,21.924,-54.945,-0.2283,5.980,175.847
0.3611,-11.629,20.056,-78.031,-0.1536,9.490,160.108
0.3811,-19.589,17.660,-96.500,-0.1204,13.010,159.388
0.4012,-26.852,14.737,-117.740,-0.1619,16.520,159.544
0.4212,-33.158,11.330,-130.668,-0.1204,18.980,112.192
0.4413,-38.285,7.550,-148.213,-0.0208,19.690,64.469
0.4614,-42.047,3.550,-151.907,-0.1536,21.090,63.454
0.4814,-44.311,-0.560,-159.295,-0.2366,21.800,32.164
0.5015,-44.996,-4.605,-154.678,-0.2117,21.090,-32.457
0.5215,-44.077,-8.429,-141.749,-0.0955,18.980,-95.656
0.5416,-41.589,-11.902,-124.204,-0.0872,17.580,-127.388
0.5616,-37.619,-14.935,-106.658,-0.0872,13.360,-192.409
0.5817,-32.309,-17.397,-83.572,-0.1785,8.090,-238.782
0.6017,-25.849,-19.045,-52.175,-0.0125,2.110,-271.835
0.6218,-18.467,-19.924,-21.701,-0.0872,355.430,-302.452
0.6419,-10.427,-19.968,0.462,-0.0374,348.400,-321.854
0.6619,-2.016,-19.507,18.007,0.2366,344.880,-319.760
0.6820,6.466,-18.408,49.404,0.2117,338.550,-287.657
0.7020,14.720,-16.561,77.108,0.1785,332.580,-269.359
0.7221,22.448,-14.232,94.653,0.1038,328.010,-208.606
0.7421,29.376,-11.396,116.816,0.1536,324.840,-143.756
0.7622,35.259,-8.077,124.204,0.1370,323.090,-79.896
0.7823,39.885,-4.429,137.132,0.1287,323.090,0.000
0.8023,43.090,-0.582,143.596,0.0374,323.440,15.905
0.8224,44.760,3.352,140.826,0.1619,326.250,126.895
0.8424,44.835,7.154,140.826,0.2034,330.820,208.451
0.8625,43.313,10.715,131.591,0.1951,336.800,271.250
0.8825,40.247,13.924,116.816,0.1702,339.960,289.551
0.9026,35.748,16.627,89.113,0.1121,348.400,384.333
0.9227,29.974,18.693,63.256,-0.0706,357.540,415.281
0.9427,23.133,19.946,34.629,0.0789,7.380,445.829
0.9628,15.469,20.320,-0.462,0.1868,17.230,447.216
0.9828,7.253,20.056,-14.313,-0.0540,26.370,417.308
1.0029,-1.221,19.265,-36.476,-0.2947,30.590,380.834
1.0229,-9.651,17.858,-55.869,-0.1536,38.320,351.280
1.0430,-17.737,15.792,-87.266,-0.2615,43.950,256.821
1.0630,-25.192,13.243,-98.347,-0.2283,47.460,159.544
1.0831,-31.749,10.165,-119.587,-0.1702,48.870,63.802
1.1032,-37.179,6.671,-138.056,-0.1868,48.520,-15.979
1.1232,-41.281,2.868,-144.520,-0.1619,47.110,-128.016
1.1433,-43.911,-1.044,-147.290,-0.2034,42.890,-191.195
1.1633,-44.978,-4.956,-148.213,-0.1370,36.210,-302.716
1.1834,-44.442,-8.715,-137.132,-0.0540,28.830,-337.792
1.2035,-42.323,-12.166,-119.587,0.0042,18.630,-461.494
1.2235,-38.696,-15.221,-104.811,-0.0291,13.010,-511.885
1.2436,-33.690,-17.748,-90.036,-0.1536,1.760,-513.398
1.2636,-27.485,-19.529,-49.404,0.0125,349.450,-559.341
1.2837,-20.301,-20.474,-19.854,-0.1370,337.500,-540.960
1.3037,-12.394,-20.518,3.232,-0.1204,326.250,-511.683
1.3238,-4.045,-20.100,21.701,0.1038,316.760,-430.409
1.3438,4.448,-19.045,44.787,0.2947,312.890,-382.447
1.3639,12.782,-17.353,70.644,-0.0125,305.860,-308.794
1.3839,20.661,-15.133,88.189,0.2117,301.640,-191.826
1.4040,27.804,-12.385,110.352,0.2698,300.230,-63.853
1.4241,33.957,-9.154,126.974,0.2532,300.940,32.280
1.4441,38.901,-5.550,142.673,0.2615,304.800,174.950
1.4642,42.459,-1.703,143.596,0.1619,307.620,259.546
1.4842,44.504,2.231,141.749,0.1038,315.000,335.424
1.5043,44.963,6.099,141.749,0.0125,324.840,447.285
1.5243,43.821,9.748,136.209,0.0623,336.090,509.345
1.5444,41.119,13.067,120.510,0.0208,349.450,607.592
1.5644,36.951,15.902,97.424,-0.0457,355.430,589.448
1.5845,31.467,18.188,68.797,0.0457,9.490,617.385
1.6046,24.863,19.639,42.017,0.0291,23.910,652.774
1.6246,17.371,20.276,8.773,0.1702,36.560,576.642
1.6447,9.262,20.144,-12.467,-0.0042,48.160,525.762
1.6647,0.823,19.507,-35.553,-0.2117,56.950,400.882
1.6848,-7.647,18.254,-56.792,-0.1785,60.470,319.766
1.7048,-15.843,16.342,-80.802,-0.2117,65.740,239.660
1.7249,-23.475,13.902,-92.807,-0.1121,67.850,95.885
1.7450,-30.270,10.935,-119.587,-0.0955,67.500,-15.915
1.7650,-35.990,7.506,-136.209,-0.0955,63.630,-175.287
1.7851,-40.425,3.813,-138.979,-0.1287,56.950,-303.631
1.8051,-43.421,-0.099,-145.443,-0.1619,52.730,-385.745
1.8252,-44.868,-4.055,-150.060,-0.2532,42.190,-475.509
1.8453,-44.716,-7.858,-138.979,-0.2034,29.880,-564.008
1.8653,-42.970,-11.396,-127.898,-0.1536,15.470,-652.534
1.8854,-39.694,-14.539,-110.352,-0.1536,0.350,-690.172
1.9054,-35.004,-17.199,-90.036,-0.1868,352.620,-702.208
1.9255,-29.063,-19.177,-59.562,0.0872,337.850,-696.140
1.9456,-22.089,-20.320,-33.706,-0.1370,323.090,-647.640
1.9656,-14.329,-20.540,1.385,-0.2781,310.080,-591.371
1.9857,-6.059,-20.232,17.084,0.1038,298.830,-509.514
2.0057,2.427,-19.331,42.940,0.2283,291.450,-336.437
2.0258,10.827,-17.814,65.103,0.0789,288.280,-288.437
2.0458,18.841,-15.682,89.113,0.3114,284.770,-159.528
2.0659,26.184,-13.045,108.505,0.2366,284.410,-16.976
2.0859,32.594,-9.924,126.051,0.1951,286.880,108.340
2.1060,37.843,-6.407,131.591,0.1785,292.850,271.438
2.1261,41.745,-2.605,144.520,0.2283,301.990,412.868
2.1461,44.159,1.308,145.443,0.2366,307.270,523.737
2.1662,45.000,5.198,143.596,0.0955,320.270,570.607
2.1862,44.237,8.913,135.285,0.0374,334.690,655.573
2.2063,41.900,12.319,123.280,0.0540,350.860,732.327
2.2263,38.069,15.287,102.965,0.0208,7.380,753.414
2.2464,32.884,17.704,81.725,0.1702,15.820,767.205
2.2664,26.526,19.353,53.098,0.0623,32.340,748.343
2.2865,19.224,20.210,20.778,0.1370,47.110,673.744
2.3066,11.237,20.232,-2.309,0.0208,60.120,589.194
2.3266,2.851,19.726,-21.701,-0.2864,70.310,464.782
2.3467,-5.638,18.649,-47.558,-0.2864,77.700,334.795
2.3667,-13.925,16.891,-73.414,-0.1619,79.800,192.282
2.3868,-21.721,14.517,-97.424,-0.1619,81.910,95.861
2.4069,-28.745,11.660,-117.740,-0.2117,81.210,-32.963
2.4269,-34.739,8.385,-125.127,-0.2117,76.990,-185.184
2.4470,-39.494,4.737,-139.902,-0.1121,68.910,-367.625
2.4670,-42.843,0.868,-146.367,-0.0125,58.010,-495.430
2.4871,-44.667,-3.088,-149.137,-0.1038,52.030,-539.183
2.5071,-44.898,-6.934,-138.979,-0.1702,37.270,-673.592
2.5272,-43.531,-10.561,-139.902,-0.2117,21.090,-733.033
2.5472,-40.613,-13.814,-118.663,-0.2117,3.520,-800.993
2.5673,-36.246,-16.583,-102.041,-0.0872,345.230,-831.781
2.5874,-30.588,-18.781,-70.644,0.0291,328.010,-810.840
2.6074,-23.842,-20.144,-36.476,-0.1702,319.570,-717.260
2.6275,-16.246,-20.562,-6.926,-0.3114,304.100,-703.287
2.6475,-8.072,-20.320,15.237,0.0540,291.090,-591.076
2.6676,0.389,-19.595,35.553,0.2117,281.600,-448.459
2.6876,8.837,-18.232,56.792,0.1785,274.920,-292.503
2.7077,16.970,-16.254,82.649,0.2200,272.810,-191.802
2.7277,24.498,-13.726,106.658,0.0706,271.050,-79.993
2.7478,31.154,-10.715,119.587,0.0623,272.460,66.565
2.7679,36.700,-7.264,137.132,0.0042,278.090,246.737
2.7879,40.939,-3.528,145.443,0.0872,286.880,399.455
2.8080,43.721,0.385,147.290,0.1868,298.480,525.296
2.8280,44.944,4.297,146.367,0.2200,305.160,658.813
2.8481,44.565,8.055,140.826,0.1536,320.980,694.487
2.8682,42.599,11.528,128.821,0.1370,338.200,815.092
2.8882,39.115,14.605,102.965,0.1204,356.840,846.418
2.9083,34.238,17.177,86.342,0.1619,16.520,891.882
2.9283,28.140,19.045,56.792,-0.0623,35.160,844.890
2.9484,21.040,20.100,31.859,0.0955,44.300,779.790
2.9684,13.192,20.276,-0.462,0.1287,60.470,734.905
2.9885,4.873,19.880,-18.007,-0.1868,74.180,623.103
3.0085,-3.619,18.957,-46.634,-0.2283,84.730,479.574
3.0286,-11.984,17.331,-69.720,-0.0623,91.760,331.232
3.0487,-19.920,15.111,-88.189,-0.2200,93.870,179.060
3.0687,-27.148,12.429,-105.735,-0.2947,95.620,79.563
3.0888,-33.408,9.220,-127.898,-0.2864,94.570,-47.722
3.1088,-38.478,5.638,-137.132,-0.2532,88.950,-255.223
3.1289,-42.178,1.791,-144.520,-0.1702,80.510,-383.910
3.1489,-44.374,-2.143,-144.520,-0.0042,68.550,-543.389
3.1690,-44.989,-6.033,-138.979,-0.0374,61.520,-687.767
3.1891,-44.002,-9.704,-127.898,-0.0872,45.000,-752.142
3.2091,-41.446,-13.067,-123.280,-0.0706,26.370,-846.126
3.2292,-37.414,-15.968,-96.500,0.0125,6.680,-895.195
3.2492,-32.050,-18.320,-73.414,-0.0540,345.940,-944.166
3.2693,-25.544,-19.880,-43.864,-0.0457,325.200,-943.044
3.2893,-18.127,-20.562,-7.849,-0.2532,315.700,-802.903
3.3094,-10.064,-20.430,6.002,-0.0457,297.770,-814.804
3.3295,-1.642,-19.836,31.859,0.1204,282.300,-703.070
3.3495,6.837,-18.627,54.022,0.2449,270.350,-562.756
3.3696,15.074,-16.759,75.261,0.1287,261.910,-384.934
3.3896,22.773,-14.385,98.347,0.0955,259.100,-237.364
3.4097,29.660,-11.484,116.816,0.1951,255.940,-143.620
3.4297,35.490,-8.121,130.668,0.1619,255.590,-16.488
3.4498,40.056,-4.451,141.749,0.0789,259.450,175.949
3.4699,43.196,-0.582,144.520,0.0125,266.480,319.725
3.4899,44.797,3.330,137.132,0.1453,277.030,479.334
3.5100,44.802,7.154,138.056,0.2200,283.710,564.059
3.5300,43.211,10.715,129.745,0.1868,299.180,703.149
3.5501,40.081,13.924,116.816,0.1785,317.110,814.966
3.5701,35.524,16.605,92.807,0.1038,337.850,977.451
3.5902,29.701,18.649,68.797,0.0125,0.000,1014.587
3.6102,22.817,19.880,41.093,0.0457,21.450,975.299
3.6303,15.122,20.276,1.385,0.2034,32.340,1069.926
3.6504,6.890,19.990,-12.467,-0.1370,53.440,959.112
3.6704,-1.588,19.221,-25.395,-0.2947,72.420,862.178
3.6905,-10.009,17.814,-61.409,-0.1370,87.890,703.574
3.7105,-18.074,15.704,-88.189,-0.3031,99.840,543.508
3.7306,-25.494,13.111,-112.199,-0.2366,104.770,417.600
3.7506,-32.007,10.012,-127.898,-0.1619,111.450,303.658
3.7707,-37.380,6.517,-138.056,-0.2283,114.960,159.528
3.7907,-41.422,2.736,-146.367,-0.2532,115.310,15.910
3.8108,-43.988,-1.198,-150.060,-0.2200,112.150,-143.618
3.8308,-44.988,-5.132,-143.596,-0.1121,105.470,-303.539
3.8509,-44.384,-8.869,-138.056,-0.0125,100.550,-447.401
3.8710,-42.200,-12.297,-123.280,-0.0042,88.950,-548.388
3.8910,-38.512,-15.309,-101.118,-0.0125,73.830,-687.249
3.9111,-33.453,-17.792,-79.878,-0.1702,55.550,-831.122
3.9311,-27.199,-19.529,-53.098,-0.0208,34.100,-974.369
3.9512,-19.979,-20.430,-21.701,-0.1702,10.900,-1054.627
3.9712,-12.047,-20.474,4.156,-0.1038,358.590,-1117.693
3.9913,-3.686,-20.034,30.012,0.1702,333.980,-1122.400
4.0114,4.806,-18.979,42.017,0.3031,310.780,-1054.809
4.0314,13.129,-17.287,66.950,0.0042,289.690,-958.462
4.0515,20.982,-15.023,91.883,0.2532,271.410,-831.500
4.0715,28.090,-12.253,112.199,0.3363,256.990,-654.767
4.0916,34.196,-9.001,126.051,0.2698,250.660,-575.171
4.1116,39.083,-5.374,139.902,0.2532,241.520,-415.682
4.1317,42.578,-1.528,140.826,0.1619,234.840,-303.608
4.1518,44.556,2.385,139.902,0.0457,232.030,-127.736
